                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1068,                 3.8179,                  1.176,                0.07478,                0.77995,                0.10891,                0.07549,                0.86808,                 3.5059,                0.95575,              9.468e-05,              9.468e-05,              9.468e-05
                      2,                 1.0213,                 3.0006,                 1.1475,                0.05363,                0.99821,                0.33005,                0.24652,                0.88533,                 2.9952,                0.96025,             0.00019334,             0.00019334,             0.00019334
                      3,                 1.0786,                 2.1084,                 1.2093,                0.62707,                0.46971,                0.55649,                 0.4001,                0.95806,                 2.1934,                 1.0617,             0.00029067,             0.00029067,             0.00029067
                      4,                 1.0483,                 1.5052,                 1.2073,                0.61681,                0.47086,                0.65084,                0.45357,                 1.0277,                 2.1441,                 1.1157,             0.00038669,             0.00038669,             0.00038669
                      5,                 1.0467,                   1.23,                 1.1949,                0.85184,                0.49962,                0.71277,                0.49908,                0.97767,                 2.1691,                 1.1359,             0.00048139,             0.00048139,             0.00048139
                      6,                 1.0333,                 1.1179,                 1.1747,                0.89946,                0.85719,                0.94711,                0.68295,                0.96203,                 1.1438,                 1.0931,             0.00050864,             0.00050864,             0.00050864
                      7,                0.99783,                 1.0186,                 1.1482,                0.91491,                0.87367,                0.95875,                0.68105,                 1.0114,                 1.0939,                  1.111,             0.00050517,             0.00050517,             0.00050517
                      8,                0.99978,                 1.0065,                 1.1617,                0.92652,                0.92466,                0.97287,                 0.7117,                0.95569,                0.86502,                 1.0886,              0.0005017,              0.0005017,              0.0005017
                      9,                0.99389,                0.94837,                 1.1633,                0.92665,                0.92276,                0.96661,                0.70801,                0.97842,                0.79882,                 1.0903,             0.00049823,             0.00049823,             0.00049823
                     10,                0.98468,                0.91463,                 1.1476,                0.91356,                 0.9122,                0.96139,                0.65269,                 1.0478,                0.69923,                 1.2173,             0.00049476,             0.00049476,             0.00049476
                     11,                0.97145,                0.87233,                 1.1523,                0.97221,                0.96019,                0.98876,                0.72302,                0.97695,                0.59979,                 1.0851,             0.00049128,             0.00049128,             0.00049128
                     12,                 0.9626,                0.84372,                 1.1419,                0.86698,                0.86397,                0.92486,                0.62123,                 1.0857,                0.90135,                  1.272,             0.00048781,             0.00048781,             0.00048781
                     13,                0.96123,                0.83031,                 1.1443,                0.83399,                 0.8352,                0.90123,                0.65581,                0.95064,                0.86332,                 1.1322,             0.00048434,             0.00048434,             0.00048434
                     14,                0.94644,                0.78914,                 1.1298,                0.96083,                0.96404,                0.98871,                0.73798,                0.91016,                0.59566,                 1.0763,             0.00048087,             0.00048087,             0.00048087
                     15,                0.93111,                0.77559,                 1.1187,                0.96836,                0.96567,                0.98801,                0.72533,                0.91232,                0.55564,                 1.1182,              0.0004774,              0.0004774,              0.0004774
                     16,                0.92624,                0.75031,                 1.1252,                0.94897,                0.95122,                0.98495,                0.72121,                0.96766,                0.55644,                 1.0981,             0.00047393,             0.00047393,             0.00047393
