                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1239,                 4.8282,                 4.2458,                      0,                      0,                      0,                      0,                 2.3525,                 4.7543,                 4.0795,              9.468e-05,              9.468e-05,              9.468e-05
                      2,                 2.5325,                 3.7869,                   3.83,                      0,                      0,                      0,                      0,                 1.5154,                 4.3134,                 3.3491,             0.00019334,             0.00019334,             0.00019334
                      3,                 1.8326,                 2.5617,                 3.0358,                0.06522,                0.81824,                0.31196,                 0.1922,                 1.3487,                 3.4572,                 2.3276,             0.00029067,             0.00029067,             0.00029067
                      4,                 1.4521,                 1.9473,                 2.3383,                0.75163,                0.16721,                0.46367,                0.31973,                 1.1162,                 2.7093,                 1.7764,             0.00038669,             0.00038669,             0.00038669
                      5,                 1.3028,                 1.6341,                 1.9604,                0.87657,                0.33396,                0.67151,                0.40028,                  1.415,                 2.3752,                 1.8977,             0.00048139,             0.00048139,             0.00048139
                      6,                  1.208,                 1.4259,                 1.7648,                 0.5371,                0.55719,                0.56405,                0.39765,                 1.0245,                 2.0592,                 1.5512,             0.00050864,             0.00050864,             0.00050864
                      7,                 1.1611,                  1.245,                 1.6575,                0.72126,                0.75835,                0.80779,                0.57251,                 1.0199,                  1.315,                 1.5148,             0.00050517,             0.00050517,             0.00050517
                      8,                 1.1233,                 1.1766,                 1.6065,                0.85908,                  0.835,                0.93774,                0.68315,                0.97166,                0.89817,                  1.455,              0.0005017,              0.0005017,              0.0005017
                      9,                 1.1053,                 1.0967,                 1.5754,                 0.8155,                0.83855,                0.89659,                0.64745,                0.98255,                0.96536,                 1.4423,             0.00049823,             0.00049823,             0.00049823
                     10,                  1.082,                 1.0589,                 1.5331,                0.80415,                  0.806,                0.86663,                0.59911,                 1.0068,                 1.0078,                 1.5659,             0.00049476,             0.00049476,             0.00049476
