                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0903,                  9e-05,                 1.1671,                0.03333,                0.00115,                0.01723,                0.01379,                0.94771,                0.00011,                 1.0628,              9.468e-05,              9.468e-05,              9.468e-05
                      2,                 0.9723,                  7e-05,                 1.1025,                0.06092,                0.99288,                0.09917,                0.07151,                0.87013,                 0.0001,                0.96257,             0.00019334,             0.00019334,             0.00019334
                      3,                 1.0446,                  5e-05,                 1.1973,                0.05238,                0.99176,                0.10832,                0.08002,                0.97319,                  7e-05,                 1.0163,             0.00029067,             0.00029067,             0.00029067
                      4,                 1.0485,                  4e-05,                 1.2513,                0.04523,                0.99441,                0.11769,                0.08767,                0.94777,                  6e-05,                 1.0724,             0.00038669,             0.00038669,             0.00038669
                      5,                 1.0598,                  4e-05,                 1.2759,                0.07306,                0.56038,                0.11127,                  0.081,                0.98602,                  5e-05,                 1.1476,             0.00048139,             0.00048139,             0.00048139
                      6,                 1.0268,                  4e-05,                 1.2657,                  0.163,                0.36801,                0.11207,                 0.0775,                  1.091,                  6e-05,                 1.1102,             0.00050864,             0.00050864,             0.00050864
                      7,                0.98757,                  4e-05,                 1.2328,                0.10087,                0.49009,                0.11808,                 0.0849,                0.97795,                  6e-05,                 1.1174,             0.00050517,             0.00050517,             0.00050517
                      8,                0.95573,                  3e-05,                 1.2206,                0.08002,                0.45012,                0.11191,                0.07811,                 1.0563,                0.00015,                 1.0824,              0.0005017,              0.0005017,              0.0005017
                      9,                0.93677,                  3e-05,                 1.2151,                0.09952,                0.56642,                0.12085,                0.08844,                0.95857,                  6e-05,                 1.0621,             0.00049823,             0.00049823,             0.00049823
                     10,                0.92966,                  3e-05,                 1.1973,                0.08717,                0.57899,                0.10484,                0.07515,                0.93586,                  5e-05,                 1.1258,             0.00049476,             0.00049476,             0.00049476
                     11,                0.91161,                  3e-05,                 1.2015,                0.10855,                0.53267,                0.15333,                 0.1092,                0.92285,                  3e-05,                 1.0861,             0.00049128,             0.00049128,             0.00049128
                     12,                0.89629,                  3e-05,                 1.1849,                 0.1013,                0.51771,                0.14859,                0.10209,                0.88991,                  5e-05,                 1.2061,             0.00048781,             0.00048781,             0.00048781
                     13,                0.89368,                  3e-05,                 1.1876,                0.10296,                 0.4625,                0.12931,                0.08989,                0.84716,                  4e-05,                 1.1517,             0.00048434,             0.00048434,             0.00048434
                     14,                0.86196,                  3e-05,                  1.172,                0.08835,                0.45955,                0.11207,                0.07466,                0.91347,                  4e-05,                 1.2399,             0.00048087,             0.00048087,             0.00048087
                     15,                0.85507,                  3e-05,                  1.154,                0.08035,                0.45513,                0.10265,                 0.0668,                0.87849,                  5e-05,                  1.202,              0.0004774,              0.0004774,              0.0004774
                     16,                0.85018,                  3e-05,                 1.1513,                0.12413,                0.46766,                0.15263,                0.10329,                0.84505,                  4e-05,                 1.1991,             0.00047393,             0.00047393,             0.00047393
                     17,                0.84849,                  3e-05,                 1.1406,                 0.0933,                0.51318,                0.11898,                0.07885,                 0.8403,                  6e-05,                 1.2428,             0.00047045,             0.00047045,             0.00047045
                     18,                0.83237,                  3e-05,                 1.1493,                 0.1003,                0.25341,                0.11543,                 0.0699,                0.81307,                  8e-05,                  1.243,             0.00046698,             0.00046698,             0.00046698
                     19,                0.84215,                  3e-05,                 1.1495,                0.09629,                0.40442,                0.13838,                0.09152,                0.83221,                  4e-05,                 1.2012,             0.00046351,             0.00046351,             0.00046351
                     20,                0.82348,                  3e-05,                 1.1378,                0.11522,                0.43057,                0.13833,                0.09432,                0.82946,                  4e-05,                 1.1283,             0.00046004,             0.00046004,             0.00046004
                     21,                  0.822,                  3e-05,                 1.1372,                0.09558,                0.49694,                0.12416,                0.08658,                0.85586,                  4e-05,                 1.1563,             0.00045657,             0.00045657,             0.00045657
                     22,                 0.8054,                  3e-05,                 1.1288,                0.05535,                0.54771,                 0.0912,                0.05784,                0.82232,                 0.0001,                  1.282,              0.0004531,              0.0004531,              0.0004531
                     23,                0.81225,                  3e-05,                 1.1269,                0.06805,                0.27234,                0.09588,                0.05895,                0.83424,                 0.0001,                 1.1997,             0.00044962,             0.00044962,             0.00044962
