                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1671,                 3.8794,                 1.1981,                      0,                      0,                      0,                      0,                 2.0773,                 3.8979,                 1.7423,              9.468e-05,              9.468e-05,              9.468e-05
                      2,                 1.0229,                 3.1398,                 1.1473,                0.18455,                0.34954,                 0.1995,                0.12432,                 1.0817,                 3.8985,                 1.2951,             0.00019334,             0.00019334,             0.00019334
                      3,                 1.0842,                 2.2677,                 1.2317,                0.07026,                0.42851,                0.21503,                0.10031,                0.97851,                 4.0285,                 1.3491,             0.00029067,             0.00029067,             0.00029067
                      4,                 1.0588,                 1.5764,                 1.2259,                0.07524,                 0.5789,                0.42166,                0.27606,                  1.001,                 3.4338,                 1.0909,             0.00038669,             0.00038669,             0.00038669
                      5,                  1.058,                  1.262,                  1.199,                0.02273,                0.46372,                0.35608,                0.21817,                 1.0316,                 3.6326,                 1.2704,             0.00048139,             0.00048139,             0.00048139
                      6,                 1.0335,                 1.1445,                 1.1812,                0.99515,                 0.1786,                0.60046,                0.42522,                  0.994,                 2.9468,                 1.1162,             0.00050864,             0.00050864,             0.00050864
                      7,                 1.0113,                 1.0387,                 1.1572,                0.97609,                0.31573,                 0.9235,                0.65332,                0.96449,                 2.3456,                 1.1461,             0.00050517,             0.00050517,             0.00050517
                      8,                 1.0048,                 1.0102,                 1.1688,                0.99456,                0.42849,                0.96258,                0.67708,                 1.0396,                 2.0564,                 1.1774,              0.0005017,              0.0005017,              0.0005017
                      9,                 1.0017,                0.94777,                 1.1656,                0.90055,                0.70079,                0.94801,                0.68211,                0.96645,                 1.4842,                 1.1467,             0.00049823,             0.00049823,             0.00049823
                     10,                0.99643,                0.91372,                 1.1607,                0.89616,                0.89359,                0.94673,                0.67214,                0.97746,                 1.0663,                 1.2041,             0.00049476,             0.00049476,             0.00049476
                     11,                0.98096,                0.87651,                 1.1652,                0.96628,                 0.9613,                0.98714,                0.72115,                0.95364,                 0.7403,                 1.1871,             0.00049128,             0.00049128,             0.00049128
                     12,                0.96673,                0.85185,                 1.1566,                0.92103,                0.91283,                 0.9461,                0.68499,                0.94221,                0.80717,                  1.171,             0.00048781,             0.00048781,             0.00048781
                     13,                0.96433,                0.83473,                 1.1523,                0.82033,                0.85117,                 0.9066,                0.66092,                0.93426,                0.98034,                 1.1573,             0.00048434,             0.00048434,             0.00048434
                     14,                0.95326,                0.78722,                 1.1391,                0.93045,                0.92396,                0.97019,                0.70707,                0.96565,                0.71589,                 1.1658,             0.00048087,             0.00048087,             0.00048087
                     15,                0.93496,                 0.7773,                 1.1327,                0.94438,                0.93859,                0.97793,                0.69161,                0.97626,                0.57768,                 1.2491,              0.0004774,              0.0004774,              0.0004774
                     16,                0.93379,                0.76363,                 1.1391,                0.94285,                0.94808,                0.97945,                0.70138,                0.95396,                 0.5609,                 1.2258,             0.00047393,             0.00047393,             0.00047393
                     17,                0.92495,                0.75587,                 1.1286,                0.95806,                0.97319,                0.98402,                0.73916,                0.89307,                0.49136,                 1.1584,             0.00047045,             0.00047045,             0.00047045
                     18,                0.92497,                0.74828,                 1.1351,                0.94004,                0.94432,                0.97992,                0.71762,                0.94022,                0.53161,                 1.1918,             0.00046698,             0.00046698,             0.00046698
                     19,                0.91812,                0.71883,                 1.1245,                0.98075,                0.97947,                 0.9917,                0.75079,                0.91216,                0.44422,                 1.1341,             0.00046351,             0.00046351,             0.00046351
                     20,                0.90539,                0.71464,                 1.1217,                0.94137,                0.93986,                 0.9774,                0.73839,                0.88771,                0.54225,                 1.1566,             0.00046004,             0.00046004,             0.00046004
                     21,                0.90399,                0.71189,                  1.119,                0.96896,                0.97719,                0.98555,                0.73065,                0.92856,                 0.4662,                 1.1886,             0.00045657,             0.00045657,             0.00045657
                     22,                0.88056,                0.67332,                 1.1066,                  0.941,                0.94106,                0.97485,                0.70074,                 0.9563,                0.52711,                 1.2324,              0.0004531,              0.0004531,              0.0004531
                     23,                0.88121,                0.67592,                 1.1033,                0.94917,                0.94616,                0.98653,                0.66917,                 1.1221,                0.56049,                 1.2196,             0.00044962,             0.00044962,             0.00044962
                     24,                0.86647,                0.65144,                 1.0965,                0.94296,                0.92647,                0.97385,                0.68764,                0.99172,                0.54847,                 1.2809,             0.00044615,             0.00044615,             0.00044615
                     25,                0.87915,                0.65094,                 1.1072,                0.97388,                  0.977,                0.98776,                0.73957,                0.89749,                0.43729,                 1.1685,             0.00044268,             0.00044268,             0.00044268
                     26,                0.87636,                 0.6429,                 1.1076,                0.96313,                0.97841,                0.98858,                   0.75,                0.89395,                0.43566,                 1.1475,             0.00043921,             0.00043921,             0.00043921
                     27,                0.86803,                0.63709,                 1.1103,                 0.9636,                0.95628,                0.98365,                0.72092,                0.96828,                0.49409,                  1.159,             0.00043574,             0.00043574,             0.00043574
                     28,                0.85595,                0.62182,                 1.1022,                 0.9638,                0.96429,                0.98608,                0.73924,                0.89483,                0.48119,                 1.1508,             0.00043227,             0.00043227,             0.00043227
                     29,                0.85358,                0.62672,                 1.0977,                0.95523,                0.94282,                0.98487,                0.72242,                0.95677,                0.48901,                 1.1673,              0.0004288,              0.0004288,              0.0004288
                     30,                 0.8557,                0.59669,                 1.0911,                0.97985,                0.97587,                0.99059,                0.75969,                0.87204,                0.40959,                 1.1425,             0.00042532,             0.00042532,             0.00042532
                     31,                0.83774,                0.60501,                 1.0837,                0.97845,                0.97313,                0.99045,                0.74038,                0.91344,                0.43402,                 1.1584,             0.00042185,             0.00042185,             0.00042185
                     32,                0.83688,                0.59026,                 1.0876,                0.96112,                0.96908,                0.98289,                0.74011,                0.89266,                0.42715,                 1.1689,             0.00041838,             0.00041838,             0.00041838
                     33,                0.84453,                0.59837,                 1.0895,                0.95559,                0.95498,                0.97611,                0.69597,                0.98484,                0.47538,                 1.3114,             0.00041491,             0.00041491,             0.00041491
                     34,                0.83092,                0.58372,                 1.0851,                0.96214,                0.97645,                0.98865,                0.74415,                0.89366,                 0.4311,                 1.1748,             0.00041144,             0.00041144,             0.00041144
                     35,                0.83199,                0.58066,                 1.0886,                0.97516,                0.98003,                 0.9901,                0.75207,                0.90874,                0.41917,                 1.1374,             0.00040797,             0.00040797,             0.00040797
                     36,                0.81666,                0.56914,                 1.0803,                0.97179,                 0.9745,                0.98936,                0.74831,                0.88136,                0.41765,                 1.1644,             0.00040449,             0.00040449,             0.00040449
                     37,                0.82147,                0.57299,                 1.0878,                0.96637,                0.96743,                0.98292,                0.74815,                0.86356,                0.41369,                 1.1743,             0.00040102,             0.00040102,             0.00040102
                     38,                0.81466,                0.56142,                 1.0786,                0.87556,                0.91527,                0.95433,                0.70901,                0.92605,                0.61089,                 1.1707,             0.00039755,             0.00039755,             0.00039755
                     39,                0.81295,                0.55328,                 1.0882,                 0.9554,                0.96731,                0.98019,                  0.715,                0.94479,                0.44896,                 1.2504,             0.00039408,             0.00039408,             0.00039408
                     40,                0.81328,                0.54338,                 1.0842,                0.97445,                0.97924,                0.98831,                0.72839,                0.94922,                 0.4218,                 1.1981,             0.00039061,             0.00039061,             0.00039061
                     41,                0.81622,                0.54085,                  1.083,                0.95054,                0.96528,                0.98417,                0.71471,                0.93747,                0.45123,                 1.2734,             0.00038714,             0.00038714,             0.00038714
                     42,                0.81189,                0.54248,                 1.0855,                0.98663,                0.98814,                0.99105,                0.76621,                0.85869,                0.40096,                 1.1498,             0.00038366,             0.00038366,             0.00038366
                     43,                0.80172,                0.53384,                 1.0719,                 0.9811,                0.98433,                0.98906,                0.74997,                0.89056,                0.39005,                 1.1936,             0.00038019,             0.00038019,             0.00038019
                     44,                0.79919,                0.52836,                   1.07,                0.99271,                0.99159,                0.99282,                0.74152,                0.97568,                0.39774,                 1.1751,             0.00037672,             0.00037672,             0.00037672
                     45,                0.80633,                0.53234,                 1.0828,                0.97072,                0.98024,                 0.9878,                0.73522,                0.91096,                0.41545,                 1.2146,             0.00037325,             0.00037325,             0.00037325
                     46,                0.79229,                0.52466,                 1.0669,                0.93148,                0.93128,                0.98185,                0.71433,                0.97288,                0.52371,                  1.196,             0.00036978,             0.00036978,             0.00036978
                     47,                0.78567,                0.51649,                 1.0545,                0.96436,                0.97224,                0.98686,                0.72032,                 1.0372,                0.44096,                 1.2076,             0.00036631,             0.00036631,             0.00036631
                     48,                0.79404,                0.50978,                 1.0589,                0.97304,                0.97098,                0.98819,                0.76381,                0.87129,                0.40048,                 1.1762,             0.00036283,             0.00036283,             0.00036283
                     49,                0.78468,                0.51011,                  1.077,                0.98396,                 0.9852,                0.99135,                0.77751,                0.85191,                0.36872,                 1.1584,             0.00035936,             0.00035936,             0.00035936
                     50,                0.79508,                0.51182,                 1.0754,                0.98922,                0.98853,                0.99155,                0.76702,                0.86682,                0.36543,                 1.1724,             0.00035589,             0.00035589,             0.00035589
                     51,                0.78329,                0.51138,                 1.0662,                 0.9844,                0.98446,                0.99067,                0.77008,                0.87291,                0.37563,                 1.1514,             0.00035242,             0.00035242,             0.00035242
                     52,                0.77607,                0.50861,                 1.0615,                0.98346,                0.98206,                0.98789,                0.74034,                0.91794,                0.39066,                 1.2057,             0.00034895,             0.00034895,             0.00034895
                     53,                0.78084,                0.49755,                 1.0631,                0.98454,                0.98301,                0.98706,                 0.7553,                  0.879,                0.37367,                 1.1724,             0.00034548,             0.00034548,             0.00034548
                     54,                0.75263,                0.48644,                 1.0458,                0.98294,                0.98803,                0.99078,                 0.7694,                0.86379,                0.37753,                 1.1553,             0.00034201,             0.00034201,             0.00034201
                     55,                0.76679,                0.49125,                 1.0612,                 0.9777,                0.98742,                0.99051,                0.74783,                0.88582,                0.37974,                 1.1876,             0.00033853,             0.00033853,             0.00033853
                     56,                0.75982,                0.48193,                  1.056,                0.97012,                0.97747,                0.98565,                0.74869,                0.87749,                0.40132,                 1.1969,             0.00033506,             0.00033506,             0.00033506
                     57,                0.74835,                0.47071,                 1.0524,                0.97871,                0.97739,                0.98903,                0.75538,                0.88056,                0.38096,                 1.1955,             0.00033159,             0.00033159,             0.00033159
                     58,                0.76758,                0.48192,                 1.0597,                0.97881,                0.97159,                0.98704,                0.75242,                0.88898,                0.38347,                 1.1996,             0.00032812,             0.00032812,             0.00032812
                     59,                0.75792,                0.47908,                 1.0581,                0.97516,                0.97206,                0.98835,                0.76165,                0.86937,                0.37481,                 1.1766,             0.00032465,             0.00032465,             0.00032465
                     60,                0.74642,                0.47248,                 1.0521,                0.98882,                0.98494,                0.99219,                0.77433,                0.85288,                0.35784,                 1.1726,             0.00032118,             0.00032118,             0.00032118
                     61,                0.74354,                0.47696,                  1.052,                0.98731,                0.98981,                0.99077,                0.75296,                  0.911,                0.36915,                 1.1889,              0.0003177,              0.0003177,              0.0003177
                     62,                0.74011,                0.47132,                 1.0537,                0.98384,                0.98984,                0.99228,                0.76826,                 0.8812,                0.35328,                 1.1672,             0.00031423,             0.00031423,             0.00031423
                     63,                0.73282,                0.46341,                 1.0438,                0.98811,                0.98835,                0.99135,                0.76309,                 0.9003,                0.36219,                 1.1935,             0.00031076,             0.00031076,             0.00031076
                     64,                0.74341,                0.46142,                 1.0459,                0.98037,                0.98458,                0.98774,                0.75582,                0.91391,                0.37657,                 1.1877,             0.00030729,             0.00030729,             0.00030729
