                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.098,                  3.859,                 1.1767,                 0.0445,                0.04473,                0.02761,                0.02216,                 1.0018,                  3.702,                 1.1124,              9.468e-05,              9.468e-05,              9.468e-05
                      2,                 1.0202,                 3.0859,                  1.167,                0.05857,                0.98748,                0.30636,                0.22406,                0.95186,                 3.3357,                0.99853,             0.00019334,             0.00019334,             0.00019334
                      3,                 1.0841,                 2.1408,                 1.2583,                0.77381,                0.34701,                0.51892,                0.36825,                 1.0157,                 2.6655,                 1.0559,             0.00029067,             0.00029067,             0.00029067
                      4,                 1.0455,                 1.5216,                 1.2236,                0.85289,                0.50243,                0.72672,                0.51278,                 1.0584,                 2.1761,                 1.1074,             0.00038669,             0.00038669,             0.00038669
                      5,                 1.0596,                 1.2626,                 1.2126,                0.84316,                0.61183,                0.85895,                0.60133,                0.98423,                 1.7745,                 1.1229,             0.00048139,             0.00048139,             0.00048139
                      6,                 1.0324,                 1.1295,                 1.1826,                0.83876,                0.79663,                0.88985,                0.63505,                0.96232,                 1.2759,                 1.1255,             0.00050864,             0.00050864,             0.00050864
                      7,                 1.0106,                 1.0308,                 1.1678,                0.83334,                0.79395,                0.90141,                0.63782,                0.99265,                 1.2521,                 1.1698,             0.00050517,             0.00050517,             0.00050517
                      8,                 1.0103,                  1.015,                 1.1782,                0.84977,                0.71456,                0.83982,                0.52809,                 1.2552,                 1.5877,                 1.2319,              0.0005017,              0.0005017,              0.0005017
                      9,                0.99892,                0.94174,                 1.1714,                0.75503,                0.79854,                0.86514,                0.63073,                0.94228,                  1.119,                 1.1012,             0.00049823,             0.00049823,             0.00049823
                     10,                0.99855,                0.92113,                  1.162,                0.91872,                0.91624,                0.96497,                0.65972,                 1.0662,                 0.6757,                 1.2838,             0.00049476,             0.00049476,             0.00049476
                     11,                0.98055,                0.87578,                 1.1652,                0.96221,                0.95275,                0.98389,                0.72145,                0.94999,                0.63645,                 1.1434,             0.00049128,             0.00049128,             0.00049128
                     12,                0.97233,                0.85748,                 1.1621,                0.91595,                0.94293,                0.97261,                0.71818,                0.93397,                0.67235,                 1.1425,             0.00048781,             0.00048781,             0.00048781
                     13,                0.96385,                0.83861,                 1.1534,                0.84959,                0.80393,                0.91945,                0.68184,                0.93366,                0.95035,                 1.1316,             0.00048434,             0.00048434,             0.00048434
                     14,                0.94532,                0.79219,                 1.1402,                0.97232,                0.98148,                0.99021,                 0.7012,                 1.0582,                0.61151,                 1.1805,             0.00048087,             0.00048087,             0.00048087
                     15,                0.93205,                0.78461,                 1.1323,                0.97091,                0.97012,                 0.9835,                0.68509,                  1.035,                0.52914,                 1.2722,              0.0004774,              0.0004774,              0.0004774
                     16,                0.93263,                 0.7721,                 1.1419,                0.93141,                0.92576,                0.97661,                0.70257,                  1.005,                0.59992,                 1.1632,             0.00047393,             0.00047393,             0.00047393
                     17,                0.92179,                0.75565,                 1.1299,                0.96491,                0.97091,                0.98446,                0.70021,                0.96282,                0.50333,                 1.2247,             0.00047045,             0.00047045,             0.00047045
                     18,                0.92417,                0.75618,                 1.1369,                0.86569,                0.87846,                0.92206,                0.67596,                0.92363,                0.73193,                 1.1655,             0.00046698,             0.00046698,             0.00046698
                     19,                0.91771,                0.72356,                  1.123,                0.93807,                0.94814,                 0.9853,                0.74031,                 0.9039,                0.52172,                 1.1344,             0.00046351,             0.00046351,             0.00046351
                     20,                0.90817,                 0.7153,                  1.125,                 0.9754,                0.98224,                0.98699,                0.71226,                0.93005,                0.46499,                 1.2074,             0.00046004,             0.00046004,             0.00046004
                     21,                0.89868,                 0.7096,                 1.1185,                0.93215,                0.93848,                0.98126,                 0.7317,                0.90118,                0.52762,                 1.1592,             0.00045657,             0.00045657,             0.00045657
                     22,                0.87596,                0.67327,                 1.1104,                0.95371,                0.96004,                0.98362,                 0.7535,                0.86636,                0.48621,                 1.1259,              0.0004531,              0.0004531,              0.0004531
                     23,                0.88194,                0.67529,                 1.1074,                0.94615,                 0.9652,                0.98902,                0.74554,                0.91213,                0.47794,                 1.1281,             0.00044962,             0.00044962,             0.00044962
                     24,                0.86896,                0.65617,                 1.1014,                0.98172,                0.97281,                0.98928,                0.75609,                 0.8588,                0.43529,                 1.1212,             0.00044615,             0.00044615,             0.00044615
                     25,                0.86889,                0.65683,                  1.105,                0.97904,                0.96781,                0.98742,                0.74585,                0.88307,                0.44077,                 1.1527,             0.00044268,             0.00044268,             0.00044268
                     26,                0.86864,                0.64548,                 1.1065,                0.95943,                0.96308,                 0.9836,                0.74759,                0.88022,                0.46675,                 1.1416,             0.00043921,             0.00043921,             0.00043921
                     27,                0.86178,                0.63752,                 1.1117,                0.95425,                0.95387,                 0.9828,                0.74763,                0.88662,                0.47774,                  1.133,             0.00043574,             0.00043574,             0.00043574
                     28,                 0.8514,                 0.6276,                 1.1042,                0.96302,                0.97347,                0.97905,                0.70778,                0.95785,                0.45361,                 1.2374,             0.00043227,             0.00043227,             0.00043227
                     29,                0.85565,                0.62607,                 1.0994,                0.86384,                0.91246,                0.94928,                0.67767,                 1.0072,                0.63662,                 1.1766,              0.0004288,              0.0004288,              0.0004288
                     30,                0.85756,                0.60284,                 1.0936,                0.98358,                0.98138,                0.99089,                0.74239,                0.92799,                0.42474,                 1.1426,             0.00042532,             0.00042532,             0.00042532
                     31,                0.84098,                0.60524,                 1.0872,                0.96324,                0.96072,                0.98953,                0.74033,                0.93155,                0.46031,                 1.1389,             0.00042185,             0.00042185,             0.00042185
                     32,                0.83936,                0.59586,                 1.0856,                 0.9528,                0.96336,                0.98411,                0.72114,                0.92819,                0.45414,                 1.2037,             0.00041838,             0.00041838,             0.00041838
                     33,                0.84225,                 0.5995,                 1.0909,                0.96783,                0.96486,                0.98145,                0.71109,                0.94373,                0.45727,                 1.2273,             0.00041491,             0.00041491,             0.00041491
                     34,                0.82828,                0.58079,                 1.0811,                 0.9645,                 0.9682,                0.98465,                0.71819,                0.98707,                0.46373,                 1.1777,             0.00041144,             0.00041144,             0.00041144
                     35,                0.82146,                0.57338,                 1.0829,                0.97568,                0.97469,                  0.987,                 0.7574,                 0.8655,                 0.4142,                 1.1595,             0.00040797,             0.00040797,             0.00040797
                     36,                0.81699,                0.56835,                 1.0782,                0.97601,                0.98538,                0.98882,                0.74746,                0.91329,                0.42076,                 1.1425,             0.00040449,             0.00040449,             0.00040449
                     37,                0.81843,                0.57173,                 1.0841,                0.92047,                0.92455,                0.96507,                0.72401,                0.87932,                0.51926,                 1.1705,             0.00040102,             0.00040102,             0.00040102
                     38,                0.80795,                0.55577,                 1.0777,                0.97701,                0.97643,                0.98622,                0.74289,                0.88511,                0.41839,                 1.1686,             0.00039755,             0.00039755,             0.00039755
