                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1643,                 3.8604,                  1.208,                      0,                      0,                      0,                      0,                 3.9098,                 4.1289,                 3.1115,              9.468e-05,              9.468e-05,              9.468e-05
                      2,                 1.0418,                 3.0812,                 1.1644,                      0,                      0,                      0,                      0,                 3.1549,                 4.1958,                 2.7778,             0.00019334,             0.00019334,             0.00019334
                      3,                 1.0911,                 2.3668,                 1.2317,                      0,                      0,                      0,                      0,                 2.1987,                 4.3066,                 2.3363,             0.00029067,             0.00029067,             0.00029067
                      4,                 1.0606,                  1.798,                 1.1954,                 0.0424,                0.02201,                0.02181,                0.00655,                 1.3343,                 4.3739,                  1.915,             0.00038669,             0.00038669,             0.00038669
                      5,                 1.0653,                 1.4594,                 1.1878,                0.08234,                0.78329,                0.53369,                0.32593,                 1.1166,                 3.6081,                 1.2475,             0.00048139,             0.00048139,             0.00048139
                      6,                 1.0475,                  1.234,                 1.1637,                0.07593,                0.97406,                0.65436,                0.46523,                0.94512,                 2.9442,                 1.0031,             0.00050864,             0.00050864,             0.00050864
                      7,                 1.0263,                  1.098,                 1.1483,                0.97133,                0.40017,                0.92063,                0.65642,                0.92432,                 2.4171,                 1.0276,             0.00050517,             0.00050517,             0.00050517
                      8,                 1.0173,                 1.0607,                 1.1575,                0.93837,                0.56137,                0.91794,                  0.651,                 1.0005,                 2.0801,                 1.0622,              0.0005017,              0.0005017,              0.0005017
                      9,                 1.0098,                0.98056,                 1.1561,                 0.7978,                 0.5066,                0.81788,                 0.5854,                 1.0082,                 2.0202,                 1.0808,             0.00049823,             0.00049823,             0.00049823
                     10,                 1.0146,                0.95069,                 1.1481,                0.85222,                0.87849,                0.96182,                0.66079,                 1.0311,                 1.0502,                 1.1358,             0.00049476,             0.00049476,             0.00049476
                     11,                0.99419,                0.89645,                 1.1518,                0.96414,                0.97076,                0.99044,                0.72396,                0.98339,                0.68767,                 1.0791,             0.00049128,             0.00049128,             0.00049128
                     12,                0.98632,                0.87614,                 1.1476,                0.92537,                0.91019,                0.95962,                0.70949,                0.93429,                 0.7535,                 1.0721,             0.00048781,             0.00048781,             0.00048781
                     13,                0.97865,                0.85104,                 1.1413,                0.89943,                0.89591,                0.97128,                0.71448,                0.93061,                 0.7295,                  1.086,             0.00048434,             0.00048434,             0.00048434
                     14,                0.95239,                 0.7986,                 1.1269,                 0.9545,                 0.9456,                0.98706,                 0.7141,                 0.9961,                0.65982,                 1.0743,             0.00048087,             0.00048087,             0.00048087
                     15,                0.94578,                0.80052,                 1.1178,                0.95327,                0.96628,                0.98252,                0.69561,                0.96901,                0.55458,                 1.1603,              0.0004774,              0.0004774,              0.0004774
                     16,                0.93979,                0.77385,                 1.1275,                0.93964,                0.94745,                0.97996,                0.70443,                0.94984,                0.56869,                 1.1359,             0.00047393,             0.00047393,             0.00047393
                     17,                0.93468,                 0.7702,                 1.1198,                0.94894,                0.95269,                0.98521,                0.73855,                0.89521,                0.52931,                 1.0775,             0.00047045,             0.00047045,             0.00047045
                     18,                0.92608,                 0.7633,                 1.1228,                0.96925,                 0.9646,                0.98604,                0.72834,                0.93955,                0.50304,                 1.0749,             0.00046698,             0.00046698,             0.00046698
                     19,                0.92712,                 0.7372,                  1.114,                0.95006,                0.96443,                0.98784,                0.73017,                0.93456,                0.51082,                 1.0548,             0.00046351,             0.00046351,             0.00046351
                     20,                0.91557,                0.72168,                  1.115,                 0.9351,                0.96924,                 0.9817,                0.73889,                0.89281,                0.50926,                 1.0825,             0.00046004,             0.00046004,             0.00046004
                     21,                0.91068,                0.71984,                 1.1099,                0.96331,                0.97159,                0.98851,                0.73333,                0.92614,                0.49708,                 1.1023,             0.00045657,             0.00045657,             0.00045657
                     22,                0.88609,                0.68789,                 1.1022,                0.92706,                0.93881,                0.97883,                 0.7459,                 0.8699,                0.55994,                 1.0678,              0.0004531,              0.0004531,              0.0004531
                     23,                0.89309,                0.67994,                 1.1036,                0.92963,                0.94315,                0.98021,                0.73038,                0.92643,                0.53953,                 1.0669,             0.00044962,             0.00044962,             0.00044962
                     24,                0.87747,                0.66709,                 1.0927,                0.95841,                0.93803,                0.97572,                0.69728,                 0.9759,                0.51232,                 1.1923,             0.00044615,             0.00044615,             0.00044615
                     25,                0.87437,                0.65211,                 1.0962,                0.95552,                0.95957,                0.98118,                0.71776,                 0.9318,                0.47645,                   1.12,             0.00044268,             0.00044268,             0.00044268
                     26,                 0.8704,                0.65059,                 1.0973,                0.98229,                0.98069,                0.99081,                0.72038,                 1.0121,                0.44787,                  1.098,             0.00043921,             0.00043921,             0.00043921
                     27,                0.87873,                0.65149,                 1.1065,                0.93585,                0.92067,                0.97762,                0.70907,                0.97215,                0.54262,                 1.0924,             0.00043574,             0.00043574,             0.00043574
                     28,                0.86075,                0.63465,                 1.0999,                0.97429,                0.97267,                0.98434,                0.73508,                0.91452,                0.43833,                 1.1291,             0.00043227,             0.00043227,             0.00043227
