                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1267,                  9e-05,                 1.2034,                      0,                      0,                      0,                      0,                 4.0595,                  7e-05,                 3.2188,              9.468e-05,              9.468e-05,              9.468e-05
                      2,                 0.9778,                  8e-05,                 1.1046,                      0,                      0,                      0,                      0,                 3.0107,                  8e-05,                 2.7881,             0.00019334,             0.00019334,             0.00019334
                      3,                 1.0431,                  6e-05,                 1.2006,                      0,                      0,                      0,                      0,                 2.7382,                  9e-05,                 2.7757,             0.00029067,             0.00029067,             0.00029067
                      4,                 1.0497,                  4e-05,                 1.2676,                      0,                      0,                      0,                      0,                 1.5305,                0.00011,                 2.4581,             0.00038669,             0.00038669,             0.00038669
                      5,                 1.0775,                  4e-05,                 1.3095,                0.03982,                0.52103,                0.05026,                0.02919,                 1.1037,                0.00011,                 1.4017,             0.00048139,             0.00048139,             0.00048139
                      6,                 1.0457,                  4e-05,                 1.2964,                0.02738,                0.96772,                0.09303,                0.06573,                 1.0248,                  7e-05,                 1.0624,             0.00050864,             0.00050864,             0.00050864
                      7,                 1.0072,                  4e-05,                 1.2764,                 0.1408,                 0.2721,                0.10193,                0.07424,                0.97612,                  5e-05,                 1.0461,             0.00050517,             0.00050517,             0.00050517
                      8,                0.98033,                  4e-05,                 1.2671,                 0.0772,                0.49661,                0.10486,                0.07578,                0.97022,                  5e-05,                 1.0362,              0.0005017,              0.0005017,              0.0005017
                      9,                0.96291,                  4e-05,                 1.2588,                0.08521,                0.51769,                0.11247,                0.08217,                0.92174,                  4e-05,                 1.0412,             0.00049823,             0.00049823,             0.00049823
                     10,                0.95405,                  3e-05,                 1.2463,                 0.0758,                 0.7374,                0.09601,                0.06917,                0.92542,                  4e-05,                 1.0785,             0.00049476,             0.00049476,             0.00049476
                     11,                0.92852,                  3e-05,                 1.2399,                0.09318,                 0.7696,                0.11547,                0.07934,                 1.0703,                  4e-05,                 1.1031,             0.00049128,             0.00049128,             0.00049128
                     12,                0.91685,                  3e-05,                 1.2213,                0.10932,                0.57106,                0.13352,                0.09507,                 0.9896,                  4e-05,                  1.084,             0.00048781,             0.00048781,             0.00048781
                     13,                0.92115,                  3e-05,                 1.2093,                0.12217,                0.55298,                0.15235,                0.11113,                0.86514,                  4e-05,                 1.0918,             0.00048434,             0.00048434,             0.00048434
                     14,                0.88043,                  3e-05,                 1.1951,                0.10794,                 0.5464,                0.14278,                0.10046,                 0.8221,                  4e-05,                 1.1314,             0.00048087,             0.00048087,             0.00048087
                     15,                0.86231,                  3e-05,                 1.1789,                0.11193,                 0.5361,                0.15196,                0.10174,                0.90073,                  4e-05,                 1.2106,              0.0004774,              0.0004774,              0.0004774
                     16,                0.86173,                  3e-05,                 1.1817,                0.12185,                 0.5717,                0.15589,                0.11227,                 0.8522,                  4e-05,                 1.0788,             0.00047393,             0.00047393,             0.00047393
                     17,                0.85386,                  3e-05,                 1.1658,                0.11176,                0.59443,                0.15537,                0.10972,                0.83157,                  4e-05,                 1.1029,             0.00047045,             0.00047045,             0.00047045
                     18,                0.84135,                  3e-05,                 1.1613,                0.10002,                0.50052,                0.14351,                0.10307,                  0.857,                  4e-05,                 1.1465,             0.00046698,             0.00046698,             0.00046698
                     19,                0.84616,                  3e-05,                 1.1646,                0.12998,                  0.495,                 0.1611,                0.11543,                0.82476,                  3e-05,                   1.08,             0.00046351,             0.00046351,             0.00046351
                     20,                0.82799,                  3e-05,                 1.1566,                0.11192,                0.54243,                0.16959,                0.12557,                0.80352,                  4e-05,                 1.0481,             0.00046004,             0.00046004,             0.00046004
                     21,                0.83063,                  3e-05,                 1.1483,                0.10898,                0.59528,                0.16967,                0.12505,                0.84387,                  4e-05,                 1.0872,             0.00045657,             0.00045657,             0.00045657
                     22,                0.80515,                  3e-05,                 1.1403,                0.15223,                0.51733,                0.19111,                0.13524,                0.82801,                  3e-05,                  1.153,              0.0004531,              0.0004531,              0.0004531
                     23,                0.81418,                  3e-05,                 1.1412,                0.12412,                0.51754,                0.19503,                0.14108,                0.84836,                  3e-05,                 1.0621,             0.00044962,             0.00044962,             0.00044962
                     24,                0.79802,                  3e-05,                 1.1249,                 0.1611,                0.49959,                0.19623,                0.14483,                0.80759,                  3e-05,                  1.066,             0.00044615,             0.00044615,             0.00044615
                     25,                0.79578,                  3e-05,                 1.1277,                0.11472,                0.52434,                0.14396,                0.10637,                0.82267,                  4e-05,                 1.0631,             0.00044268,             0.00044268,             0.00044268
                     26,                0.79335,                  3e-05,                 1.1295,                0.14435,                0.50693,                0.16414,                0.11936,                0.82232,                  4e-05,                 1.0681,             0.00043921,             0.00043921,             0.00043921
                     27,                0.79335,                  3e-05,                 1.1351,                 0.1386,                0.46474,                0.15989,                0.11133,                0.86237,                  4e-05,                 1.1022,             0.00043574,             0.00043574,             0.00043574
                     28,                0.78132,                  3e-05,                 1.1205,                0.13589,                0.44722,                0.15875,                0.10664,                0.86888,                  3e-05,                 1.2003,             0.00043227,             0.00043227,             0.00043227
                     29,                0.78711,                  3e-05,                 1.1269,                0.12107,                0.52834,                0.15384,                  0.106,                0.82726,                  4e-05,                 1.1286,              0.0004288,              0.0004288,              0.0004288
                     30,                 0.7832,                  3e-05,                 1.1128,                 0.1734,                0.48233,                0.21347,                0.14752,                0.80036,                  3e-05,                 1.1725,             0.00042532,             0.00042532,             0.00042532
                     31,                0.75922,                  3e-05,                 1.1044,                0.15302,                0.45832,                0.20592,                0.14721,                0.81242,                  3e-05,                 1.1301,             0.00042185,             0.00042185,             0.00042185
                     32,                0.76476,                  3e-05,                 1.1125,                0.11569,                0.60594,                 0.1748,                0.12736,                 0.8134,                  4e-05,                 1.0923,             0.00041838,             0.00041838,             0.00041838
                     33,                 0.7719,                  3e-05,                 1.1227,                0.12381,                0.51828,                0.15147,                0.10954,                0.86934,                  3e-05,                 1.1619,             0.00041491,             0.00041491,             0.00041491
                     34,                0.75167,                  3e-05,                 1.1055,                0.12975,                0.48484,                0.15782,                0.11584,                 0.8587,                  3e-05,                 1.0845,             0.00041144,             0.00041144,             0.00041144
                     35,                0.75611,                  3e-05,                  1.108,                0.15943,                0.47476,                 0.1913,                0.14178,                0.78444,                  3e-05,                 1.1227,             0.00040797,             0.00040797,             0.00040797
                     36,                0.75235,                  3e-05,                 1.1038,                0.17859,                0.47105,                  0.205,                 0.1495,                0.81285,                  3e-05,                 1.0841,             0.00040449,             0.00040449,             0.00040449
                     37,                0.74679,                  3e-05,                 1.1104,                0.16532,                0.49158,                0.19937,                0.14677,                0.80999,                  3e-05,                  1.122,             0.00040102,             0.00040102,             0.00040102
                     38,                0.75395,                  3e-05,                 1.1159,                0.18522,                0.49427,                0.21367,                0.16018,                0.81711,                  3e-05,                  1.083,             0.00039755,             0.00039755,             0.00039755
                     39,                0.74162,                  3e-05,                  1.115,                0.16372,                0.49912,                0.22609,                0.16281,                0.80291,                  3e-05,                 1.1088,             0.00039408,             0.00039408,             0.00039408
                     40,                 0.7504,                  3e-05,                 1.1131,                0.15396,                0.49757,                0.20543,                0.14931,                0.78508,                  3e-05,                 1.1148,             0.00039061,             0.00039061,             0.00039061
                     41,                0.75293,                  3e-05,                 1.1103,                0.16025,                0.49684,                 0.1959,                0.14322,                0.78203,                  3e-05,                 1.0578,             0.00038714,             0.00038714,             0.00038714
                     42,                0.74511,                  3e-05,                 1.1137,                0.19603,                0.46002,                0.21719,                0.14894,                0.79712,                  3e-05,                 1.1746,             0.00038366,             0.00038366,             0.00038366
                     43,                0.74095,                  3e-05,                 1.1057,                0.18622,                0.52078,                 0.2388,                0.17703,                0.75403,                  3e-05,                 1.0713,             0.00038019,             0.00038019,             0.00038019
                     44,                0.73905,                  3e-05,                 1.1018,                0.17267,                0.45916,                 0.2085,                0.15749,                0.76351,                  3e-05,                 1.0512,             0.00037672,             0.00037672,             0.00037672
                     45,                0.74587,                  3e-05,                 1.1072,                0.18253,                0.50695,                0.22059,                0.15466,                0.80579,                  3e-05,                  1.118,             0.00037325,             0.00037325,             0.00037325
                     46,                0.74152,                  3e-05,                 1.1031,                0.14569,                0.45217,                0.19656,                0.14216,                0.80724,                  3e-05,                 1.0918,             0.00036978,             0.00036978,             0.00036978
                     47,                  0.725,                  3e-05,                 1.0949,                0.15734,                0.47041,                0.20551,                0.15148,                 0.7731,                  3e-05,                 1.0831,             0.00036631,             0.00036631,             0.00036631
                     48,                0.73351,                  3e-05,                 1.0925,                0.16382,                0.52508,                0.22758,                0.16256,                0.78469,                  3e-05,                 1.1089,             0.00036283,             0.00036283,             0.00036283
                     49,                0.72629,                  3e-05,                 1.1075,                0.18204,                0.49272,                0.23431,                0.17451,                0.76605,                  3e-05,                 1.0644,             0.00035936,             0.00035936,             0.00035936
                     50,                0.73988,                  3e-05,                 1.1086,                0.17988,                0.48259,                 0.2456,                0.18012,                0.76087,                  3e-05,                 1.0947,             0.00035589,             0.00035589,             0.00035589
                     51,                0.72339,                  3e-05,                 1.0961,                0.13877,                0.52569,                0.22043,                0.15225,                0.90481,                  3e-05,                  1.127,             0.00035242,             0.00035242,             0.00035242
                     52,                 0.7248,                  3e-05,                 1.0982,                0.18056,                0.48643,                0.22303,                0.16518,                0.79845,                  3e-05,                 1.1095,             0.00034895,             0.00034895,             0.00034895
                     53,                0.72793,                  3e-05,                  1.101,                0.19861,                0.45948,                0.24213,                0.17551,                0.76601,                  3e-05,                 1.1156,             0.00034548,             0.00034548,             0.00034548
                     54,                0.70854,                  3e-05,                 1.0948,                0.19673,                 0.4671,                0.25856,                0.19139,                0.79075,                  3e-05,                 1.0957,             0.00034201,             0.00034201,             0.00034201
                     55,                0.72424,                  3e-05,                  1.105,                0.16669,                0.49746,                0.24548,                0.17524,                0.81386,                  3e-05,                 1.1668,             0.00033853,             0.00033853,             0.00033853
