                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2117,                 4.9423,                 4.3077,                      0,                      0,                      0,                      0,                 2.4899,                 4.8176,                 4.1597,              9.468e-05,              9.468e-05,              9.468e-05
                      2,                 3.0626,                  4.739,                 4.0487,                      0,                      0,                      0,                      0,                 2.4751,                 4.8388,                 4.1814,             0.00019334,             0.00019334,             0.00019334
                      3,                 2.7725,                 4.2394,                  3.621,                      0,                      0,                      0,                      0,                 2.4207,                 4.9143,                 4.2294,             0.00029067,             0.00029067,             0.00029067
                      4,                  2.496,                 3.5088,                 3.0714,                      0,                      0,                      0,                      0,                 2.3446,                 5.0012,                 4.2642,             0.00038669,             0.00038669,             0.00038669
                      5,                  2.167,                 2.9838,                 2.6061,                      0,                      0,                      0,                      0,                  2.343,                 5.0666,                 4.2631,             0.00048139,             0.00048139,             0.00048139
                      6,                 1.8433,                 2.7214,                 2.2854,                      0,                      0,                      0,                      0,                 2.4206,                 5.0236,                 4.2358,             0.00050864,             0.00050864,             0.00050864
                      7,                 1.6665,                 2.5129,                 2.0565,                0.07132,                0.18762,                0.05089,                0.02449,                 1.9279,                 4.2351,                 3.5708,             0.00050517,             0.00050517,             0.00050517
                      8,                   1.58,                 2.4179,                 1.9448,                  0.042,                0.94211,                0.17431,                0.09087,                 1.5173,                 2.9012,                 2.3348,              0.0005017,              0.0005017,              0.0005017
                      9,                 1.4923,                 2.3365,                 1.8666,                0.27264,                0.48549,                0.30853,                0.17053,                 1.4525,                 2.1154,                 1.9172,             0.00049823,             0.00049823,             0.00049823
                     10,                 1.4649,                 2.2456,                 1.8154,                0.22841,                0.55894,                0.30293,                0.18613,                 1.2706,                  1.937,                 1.7114,             0.00049476,             0.00049476,             0.00049476
                     11,                 1.4062,                 2.1727,                 1.7661,                0.30383,                0.66238,                0.42718,                0.27458,                 1.1442,                 1.7189,                 1.5793,             0.00049128,             0.00049128,             0.00049128
                     12,                 1.3844,                 2.1058,                 1.7342,                0.38306,                0.61661,                0.42878,                0.27605,                 1.1847,                 1.6326,                 1.5913,             0.00048781,             0.00048781,             0.00048781
                     13,                 1.3521,                 2.0386,                 1.6955,                0.26594,                 0.6021,                0.40189,                0.28312,                 1.0583,                 1.7954,                 1.4676,             0.00048434,             0.00048434,             0.00048434
                     14,                 1.3251,                 1.9739,                 1.6584,                0.39317,                0.68273,                0.52774,                0.36629,                 1.0449,                 1.4991,                 1.4418,             0.00048087,             0.00048087,             0.00048087
                     15,                 1.3087,                 1.9079,                 1.6377,                0.43947,                0.74173,                0.61244,                0.38226,                 1.2441,                 1.4552,                 1.6289,              0.0004774,              0.0004774,              0.0004774
                     16,                 1.2929,                 1.8523,                 1.6245,                0.47501,                0.72574,                0.68521,                0.47201,                 1.0446,                 1.2931,                 1.4518,             0.00047393,             0.00047393,             0.00047393
                     17,                  1.286,                 1.7886,                 1.6155,                0.51352,                0.70076,                0.63589,                0.43429,                 1.0609,                 1.4079,                 1.4523,             0.00047045,             0.00047045,             0.00047045
                     18,                 1.2843,                 1.7581,                 1.6023,                0.51824,                0.70956,                0.70479,                0.50163,                 1.0278,                 1.2703,                 1.4212,             0.00046698,             0.00046698,             0.00046698
                     19,                 1.2881,                 1.6754,                 1.5912,                0.57062,                0.70995,                0.68439,                0.46633,                 1.1313,                 1.3016,                 1.4234,             0.00046351,             0.00046351,             0.00046351
                     20,                 1.2689,                 1.6404,                 1.5819,                0.65369,                0.78955,                0.78481,                0.54132,                 1.1185,                   1.11,                 1.4411,             0.00046004,             0.00046004,             0.00046004
                     21,                 1.2559,                 1.6007,                 1.5684,                0.69141,                0.82605,                 0.8388,                0.59381,                 1.0223,                0.99712,                 1.4148,             0.00045657,             0.00045657,             0.00045657
                     22,                 1.2195,                 1.5408,                 1.5429,                0.61421,                0.75005,                0.75841,                0.52792,                  1.034,                 1.1576,                 1.4365,              0.0004531,              0.0004531,              0.0004531
                     23,                 1.2192,                 1.4914,                 1.5292,                 0.6384,                0.77532,                0.77966,                0.55515,                 1.0424,                 1.0646,                 1.3829,             0.00044962,             0.00044962,             0.00044962
                     24,                 1.2084,                 1.4854,                 1.5194,                0.72604,                0.82791,                0.85373,                0.55111,                 1.2034,                0.98472,                 1.5768,             0.00044615,             0.00044615,             0.00044615
                     25,                 1.2016,                 1.4446,                 1.5181,                0.76816,                0.79137,                0.85179,                0.57817,                 1.0759,                0.91889,                 1.4782,             0.00044268,             0.00044268,             0.00044268
                     26,                 1.1998,                 1.4185,                 1.5119,                0.42893,                0.68693,                0.57995,                0.41183,                 1.0017,                 1.7451,                 1.3933,             0.00043921,             0.00043921,             0.00043921
                     27,                 1.1952,                 1.4123,                 1.5212,                0.60779,                 0.7734,                0.72208,                0.51821,                 1.0216,                 1.2284,                 1.3764,             0.00043574,             0.00043574,             0.00043574
                     28,                 1.1736,                 1.3664,                 1.4914,                0.75037,                0.83735,                0.85895,                0.60592,                 1.0181,                0.93048,                 1.4121,             0.00043227,             0.00043227,             0.00043227
                     29,                 1.1725,                  1.362,                 1.4903,                0.63888,                0.77459,                0.76213,                0.53371,                 1.0174,                 1.0659,                 1.4195,              0.0004288,              0.0004288,              0.0004288
                     30,                 1.1657,                 1.3365,                  1.471,                0.72528,                0.82298,                0.86084,                0.60368,                 1.0156,                0.90418,                 1.4128,             0.00042532,             0.00042532,             0.00042532
                     31,                 1.1541,                 1.3247,                 1.4672,                0.72125,                0.79434,                 0.8144,                0.59685,                0.97699,                0.99228,                 1.3418,             0.00042185,             0.00042185,             0.00042185
                     32,                  1.164,                 1.2931,                 1.4722,                0.72371,                0.82195,                0.85213,                0.59097,                 1.0406,                0.92159,                 1.4486,             0.00041838,             0.00041838,             0.00041838
                     33,                 1.1537,                 1.2846,                 1.4631,                0.74599,                0.81472,                0.86069,                0.60216,                 1.0277,                0.87206,                 1.4374,             0.00041491,             0.00041491,             0.00041491
                     34,                 1.1421,                 1.2527,                 1.4524,                 0.6515,                0.77936,                 0.7945,                0.53498,                 1.0808,                 1.0402,                 1.4718,             0.00041144,             0.00041144,             0.00041144
                     35,                  1.135,                 1.2377,                 1.4472,                0.74674,                0.84638,                  0.871,                0.63613,                 0.9765,                0.85421,                 1.3322,             0.00040797,             0.00040797,             0.00040797
                     36,                 1.1293,                 1.2228,                 1.4455,                0.76293,                0.78563,                0.85677,                0.61929,                 1.0049,                0.88368,                  1.362,             0.00040449,             0.00040449,             0.00040449
                     37,                 1.1388,                  1.241,                  1.456,                0.83545,                0.85995,                0.92024,                0.67941,                0.94538,                0.75521,                 1.3351,             0.00040102,             0.00040102,             0.00040102
                     38,                  1.137,                 1.2179,                 1.4509,                0.68373,                0.82184,                0.82008,                0.59829,                 0.9567,                0.97098,                 1.3415,             0.00039755,             0.00039755,             0.00039755
                     39,                 1.1202,                 1.1894,                 1.4507,                0.81012,                0.84193,                0.90274,                0.66353,                0.95741,                0.75086,                 1.3554,             0.00039408,             0.00039408,             0.00039408
                     40,                 1.1267,                 1.1489,                 1.4353,                0.88036,                 0.8791,                0.94774,                 0.6617,                 1.0341,                0.70824,                 1.4298,             0.00039061,             0.00039061,             0.00039061
                     41,                 1.1361,                 1.1784,                  1.446,                0.85432,                0.85957,                0.92033,                0.66703,                0.96864,                0.70831,                 1.3619,             0.00038714,             0.00038714,             0.00038714
                     42,                 1.1155,                 1.1765,                 1.4377,                0.85348,                0.86887,                0.93679,                 0.6634,                0.99259,                0.68949,                 1.4095,             0.00038366,             0.00038366,             0.00038366
                     43,                 1.1111,                 1.1683,                 1.4304,                0.72969,                0.81586,                0.83188,                0.60336,                0.98219,                0.90416,                 1.3735,             0.00038019,             0.00038019,             0.00038019
                     44,                 1.1114,                 1.1368,                 1.4177,                 0.8475,                 0.8492,                0.92373,                0.66987,                0.96211,                0.73054,                 1.3827,             0.00037672,             0.00037672,             0.00037672
                     45,                  1.112,                 1.1336,                 1.4339,                0.85023,                0.88194,                0.93093,                0.68222,                0.95071,                0.67581,                 1.3549,             0.00037325,             0.00037325,             0.00037325
                     46,                 1.1126,                 1.1286,                 1.4191,                0.76848,                0.85311,                0.89525,                0.65239,                0.97919,                0.83467,                 1.3339,             0.00036978,             0.00036978,             0.00036978
                     47,                 1.0834,                 1.1026,                 1.3974,                0.91531,                0.93378,                 0.9751,                0.70113,                 1.0277,                0.57231,                 1.3505,             0.00036631,             0.00036631,             0.00036631
                     48,                 1.1061,                 1.0841,                  1.404,                0.68379,                 0.8229,                0.80179,                0.58998,                0.92983,                0.95735,                 1.3279,             0.00036283,             0.00036283,             0.00036283
                     49,                 1.0936,                 1.0947,                 1.4136,                0.74572,                0.85311,                0.85778,                0.63976,                0.92407,                0.83251,                 1.3108,             0.00035936,             0.00035936,             0.00035936
                     50,                 1.0969,                 1.0777,                 1.4112,                0.76477,                0.82462,                0.86825,                0.62476,                0.97286,                0.80319,                 1.3631,             0.00035589,             0.00035589,             0.00035589
                     51,                 1.0938,                 1.0769,                 1.3999,                0.84988,                 0.8872,                0.94029,                0.67969,                0.97743,                0.67911,                 1.3718,             0.00035242,             0.00035242,             0.00035242
                     52,                 1.1045,                 1.0804,                 1.4131,                0.79206,                0.83579,                0.89738,                0.64062,                0.97225,                0.78498,                 1.3746,             0.00034895,             0.00034895,             0.00034895
                     53,                 1.0958,                   1.06,                 1.4018,                 0.6179,                  0.821,                0.74766,                0.54954,                0.93117,                 1.0719,                 1.3369,             0.00034548,             0.00034548,             0.00034548
                     54,                 1.0676,                 1.0455,                 1.3816,                0.86133,                0.88904,                0.93695,                0.69417,                0.93745,                0.63866,                 1.3287,             0.00034201,             0.00034201,             0.00034201
