                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1015,                  4.896,                 4.2472,                      0,                      0,                      0,                      0,                 2.4238,                 4.8137,                 4.1844,              9.468e-05,              9.468e-05,              9.468e-05
                      2,                 2.3917,                  3.937,                 3.8964,                      0,                      0,                      0,                      0,                 2.4002,                 4.8469,                 4.1661,             0.00019334,             0.00019334,             0.00019334
                      3,                  1.766,                 2.6611,                 3.1621,                      0,                      0,                      0,                      0,                 2.4573,                 4.8582,                   4.09,             0.00029067,             0.00029067,             0.00029067
                      4,                  1.504,                 2.0622,                 2.5535,                      0,                      0,                      0,                      0,                 2.3742,                 4.8311,                 3.9123,             0.00038669,             0.00038669,             0.00038669
                      5,                 1.3371,                 1.7199,                  2.107,                0.00778,                0.01076,                0.00555,                0.00109,                 1.7264,                 4.3809,                 2.8775,             0.00048139,             0.00048139,             0.00048139
                      6,                 1.2321,                 1.4944,                 1.8427,                0.26212,                0.83344,                0.56047,                0.41582,                0.99867,                   3.29,                 1.6461,             0.00050864,             0.00050864,             0.00050864
                      7,                 1.2002,                 1.3282,                 1.7408,                0.22407,                0.98396,                0.87426,                0.63176,                 1.0107,                 2.7022,                 1.5593,             0.00050517,             0.00050517,             0.00050517
                      8,                 1.1529,                 1.2734,                 1.6829,                0.90448,                  0.578,                0.89668,                0.64938,                 1.0124,                  1.932,                 1.5348,              0.0005017,              0.0005017,              0.0005017
                      9,                 1.1253,                 1.1638,                 1.6451,                0.85579,                0.68195,                0.87024,                0.62345,                  1.005,                 1.7389,                 1.5734,             0.00049823,             0.00049823,             0.00049823
                     10,                 1.1076,                  1.115,                 1.6078,                0.81051,                0.84497,                0.86179,                0.61906,                0.99215,                 1.1868,                 1.5466,             0.00049476,             0.00049476,             0.00049476
                     11,                 1.1073,                  1.038,                 1.5966,                0.90278,                0.91405,                0.96789,                 0.7045,                0.97009,                0.96395,                 1.4618,             0.00049128,             0.00049128,             0.00049128
                     12,                 1.0719,                0.99634,                 1.5675,                0.81641,                0.82255,                0.91635,                0.66313,                 0.9802,                 1.1599,                 1.4933,             0.00048781,             0.00048781,             0.00048781
                     13,                 1.0672,                0.97214,                 1.5445,                0.92393,                0.93363,                0.97449,                0.70025,                0.97546,                0.74037,                 1.5459,             0.00048434,             0.00048434,             0.00048434
                     14,                 1.0351,                0.92559,                 1.5113,                0.88779,                 0.9229,                0.95001,                0.69735,                0.95609,                0.76199,                 1.4733,             0.00048087,             0.00048087,             0.00048087
                     15,                 1.0293,                0.90426,                 1.4983,                0.92388,                 0.9206,                0.95694,                0.58802,                 1.2493,                0.72273,                 1.8984,              0.0004774,              0.0004774,              0.0004774
                     16,                 1.0276,                  0.883,                  1.503,                0.91051,                0.91037,                0.96978,                0.68506,                0.97058,                0.67181,                 1.5509,             0.00047393,             0.00047393,             0.00047393
                     17,                 1.0159,                0.86306,                  1.481,                0.90877,                0.90656,                0.96994,                0.70382,                0.96128,                0.72147,                 1.4294,             0.00047045,             0.00047045,             0.00047045
                     18,                0.99206,                0.86495,                 1.4695,                0.89676,                0.91035,                0.97007,                0.70658,                0.94438,                0.64834,                 1.4364,             0.00046698,             0.00046698,             0.00046698
                     19,                0.99421,                0.82225,                 1.4525,                0.88545,                0.89475,                0.96626,                0.69745,                0.95667,                0.73177,                 1.5034,             0.00046351,             0.00046351,             0.00046351
                     20,                0.97635,                0.81511,                 1.4435,                0.90477,                0.92349,                0.96854,                0.68192,                 1.0206,                0.67356,                 1.5769,             0.00046004,             0.00046004,             0.00046004
                     21,                0.96942,                0.79924,                 1.4376,                0.94633,                 0.9491,                0.98309,                0.71795,                0.93207,                0.55025,                 1.4489,             0.00045657,             0.00045657,             0.00045657
                     22,                0.95473,                0.76725,                 1.4225,                0.89198,                 0.9131,                0.94738,                0.69886,                0.94571,                0.66865,                  1.454,              0.0004531,              0.0004531,              0.0004531
                     23,                0.95762,                0.75877,                 1.4146,                0.95086,                0.96457,                0.98357,                0.74815,                0.89512,                0.51612,                 1.3951,             0.00044962,             0.00044962,             0.00044962
                     24,                 0.9306,                0.73204,                 1.3984,                 0.9457,                0.95842,                0.97333,                0.67924,                 1.0006,                0.54654,                 1.5978,             0.00044615,             0.00044615,             0.00044615
                     25,                0.93206,                0.72357,                 1.3973,                 0.9474,                0.94225,                0.98002,                0.70926,                 0.9582,                 0.5556,                 1.4923,             0.00044268,             0.00044268,             0.00044268
                     26,                0.92661,                0.71882,                 1.3898,                0.96887,                0.97456,                0.98808,                0.75238,                0.88561,                0.46706,                 1.3722,             0.00043921,             0.00043921,             0.00043921
                     27,                0.93432,                0.71113,                 1.4033,                  0.973,                 0.9777,                0.98599,                0.73833,                0.92256,                0.46514,                 1.4255,             0.00043574,             0.00043574,             0.00043574
                     28,                0.90747,                0.69513,                 1.3781,                0.96058,                0.97226,                0.98676,                0.75793,                0.87587,                0.49123,                 1.3665,             0.00043227,             0.00043227,             0.00043227
                     29,                0.91119,                0.68971,                 1.3768,                0.89351,                0.90787,                0.94471,                0.66208,                 1.0653,                0.71905,                 1.4689,              0.0004288,              0.0004288,              0.0004288
                     30,                0.90359,                0.66006,                 1.3611,                0.95629,                0.96652,                0.98329,                0.73145,                 0.9062,                0.47961,                 1.4332,             0.00042532,             0.00042532,             0.00042532
                     31,                0.89451,                0.66049,                 1.3546,                0.90755,                0.92146,                0.96459,                0.69266,                0.98482,                0.57562,                 1.5103,             0.00042185,             0.00042185,             0.00042185
                     32,                0.89348,                  0.646,                 1.3567,                0.94936,                0.93086,                0.97543,                0.70643,                0.96812,                0.52218,                 1.5852,             0.00041838,             0.00041838,             0.00041838
                     33,                0.89285,                0.64206,                 1.3494,                0.93256,                 0.9425,                0.98006,                0.73704,                0.90114,                0.52196,                 1.3924,             0.00041491,             0.00041491,             0.00041491
                     34,                0.87946,                 0.6349,                 1.3398,                0.95366,                0.96057,                0.98342,                0.74108,                0.91734,                0.47903,                 1.4178,             0.00041144,             0.00041144,             0.00041144
                     35,                0.88101,                0.62515,                 1.3381,                0.96239,                0.96348,                0.98002,                0.73301,                0.89537,                0.47005,                 1.4416,             0.00040797,             0.00040797,             0.00040797
                     36,                0.86601,                0.61288,                 1.3277,                0.92513,                0.95485,                0.98019,                 0.7407,                0.91916,                0.52234,                 1.3643,             0.00040449,             0.00040449,             0.00040449
                     37,                0.86585,                0.61873,                 1.3337,                0.96267,                0.95742,                0.98512,                0.76095,                 0.8726,                0.44883,                 1.3588,             0.00040102,             0.00040102,             0.00040102
                     38,                0.87006,                0.60418,                 1.3287,                0.92266,                0.92852,                0.97016,                0.71975,                0.92456,                0.52696,                 1.4358,             0.00039755,             0.00039755,             0.00039755
                     39,                0.86266,                0.60096,                 1.3326,                0.97095,                0.97692,                  0.988,                0.74975,                0.89515,                 0.4258,                 1.3821,             0.00039408,             0.00039408,             0.00039408
                     40,                0.85923,                0.58808,                 1.3178,                0.96459,                0.96468,                0.98512,                0.72168,                0.97141,                0.47201,                 1.3901,             0.00039061,             0.00039061,             0.00039061
                     41,                0.86781,                0.59448,                 1.3236,                0.97867,                0.97724,                0.99014,                0.76596,                0.84782,                0.39589,                 1.3445,             0.00038714,             0.00038714,             0.00038714
                     42,                0.85258,                0.58246,                 1.3146,                 0.9738,                0.98544,                0.98736,                0.74957,                0.87686,                0.41065,                 1.3978,             0.00038366,             0.00038366,             0.00038366
                     43,                0.84331,                0.58257,                 1.3055,                0.95005,                0.95508,                0.98136,                0.72557,                0.92421,                0.46551,                 1.4317,             0.00038019,             0.00038019,             0.00038019
                     44,                0.83624,                0.56984,                 1.2915,                0.97785,                0.97898,                0.98728,                0.75309,                0.87821,                0.40534,                 1.3892,             0.00037672,             0.00037672,             0.00037672
                     45,                 0.8509,                0.57734,                 1.3102,                0.96568,                0.95363,                0.98176,                0.72229,                0.92614,                0.44667,                 1.4674,             0.00037325,             0.00037325,             0.00037325
                     46,                0.84292,                0.56999,                 1.2973,                0.97967,                0.98389,                0.99153,                 0.7713,                0.87685,                0.39198,                 1.3145,             0.00036978,             0.00036978,             0.00036978
                     47,                0.82757,                0.54487,                  1.277,                0.97941,                0.98286,                0.99236,                0.74727,                0.94944,                0.40471,                 1.3651,             0.00036631,             0.00036631,             0.00036631
                     48,                0.84647,                0.54324,                 1.2811,                0.97172,                0.96683,                0.98722,                0.76312,                0.87228,                0.41275,                 1.3576,             0.00036283,             0.00036283,             0.00036283
                     49,                0.83801,                  0.553,                 1.2995,                0.97473,                 0.9748,                0.98735,                0.76913,                 0.8667,                0.39059,                 1.3385,             0.00035936,             0.00035936,             0.00035936
                     50,                0.83084,                0.54264,                 1.2847,                0.98231,                 0.9868,                0.99106,                0.76066,                0.88306,                 0.3924,                 1.3617,             0.00035589,             0.00035589,             0.00035589
                     51,                0.81897,                0.54555,                 1.2746,                0.95191,                0.94274,                0.97949,                0.73544,                0.93901,                0.49083,                 1.3959,             0.00035242,             0.00035242,             0.00035242
                     52,                0.81613,                0.54485,                 1.2752,                0.98122,                 0.9797,                0.98847,                0.75927,                0.90097,                0.39557,                 1.3639,             0.00034895,             0.00034895,             0.00034895
                     53,                0.83018,                 0.5463,                 1.2787,                0.97464,                0.97296,                0.98284,                0.73188,                0.93733,                0.40865,                 1.4416,             0.00034548,             0.00034548,             0.00034548
                     54,                0.79754,                0.52264,                 1.2563,                0.97993,                0.97919,                0.99202,                0.77283,                0.89063,                0.37555,                 1.3164,             0.00034201,             0.00034201,             0.00034201
                     55,                0.81237,                0.52578,                 1.2638,                0.92928,                 0.9599,                0.97303,                0.74267,                 0.8938,                0.45812,                 1.3562,             0.00033853,             0.00033853,             0.00033853
                     56,                0.79871,                0.51605,                  1.257,                0.97108,                0.98111,                0.98836,                0.77427,                0.87316,                0.38168,                 1.3352,             0.00033506,             0.00033506,             0.00033506
                     57,                0.78254,                0.50897,                 1.2539,                0.97961,                 0.9795,                0.98486,                0.74833,                 0.8939,                0.38004,                 1.4177,             0.00033159,             0.00033159,             0.00033159
                     58,                0.80268,                0.52557,                 1.2535,                0.97054,                0.97618,                0.98507,                0.74667,                0.87242,                0.39098,                 1.3946,             0.00032812,             0.00032812,             0.00032812
                     59,                0.79666,                0.51986,                 1.2573,                0.98008,                0.96917,                0.98346,                0.70939,                0.93961,                 0.4023,                 1.4693,             0.00032465,             0.00032465,             0.00032465
                     60,                0.79584,                0.51976,                 1.2584,                0.97685,                0.97734,                0.98493,                0.74132,                0.90104,                0.39056,                 1.4535,             0.00032118,             0.00032118,             0.00032118
                     61,                0.78413,                0.50634,                 1.2491,                0.98115,                0.97807,                0.98967,                0.76174,                0.87062,                 0.3746,                 1.3648,              0.0003177,              0.0003177,              0.0003177
                     62,                0.78437,                0.51246,                 1.2505,                0.97714,                0.98704,                0.98995,                0.77908,                0.85454,                0.35751,                 1.3207,             0.00031423,             0.00031423,             0.00031423
                     63,                0.76867,                0.49937,                   1.23,                0.98037,                 0.9858,                0.98862,                0.77072,                0.86077,                 0.3547,                 1.3412,             0.00031076,             0.00031076,             0.00031076
                     64,                  0.778,                 0.4977,                 1.2346,                0.98066,                0.98004,                0.98632,                0.75577,                 0.8955,                0.38214,                 1.3831,             0.00030729,             0.00030729,             0.00030729
                     65,                0.77121,                 0.4942,                 1.2333,                0.97887,                0.97782,                0.98947,                0.76891,                0.87828,                 0.3656,                 1.3352,             0.00030382,             0.00030382,             0.00030382
                     66,                0.76574,                0.49452,                 1.2358,                0.98983,                0.98368,                0.99136,                0.77807,                0.86964,                0.35619,                 1.3191,             0.00030035,             0.00030035,             0.00030035
                     67,                0.75704,                0.47898,                 1.2294,                0.97603,                0.97808,                0.98811,                0.76782,                0.86721,                0.36958,                 1.3768,             0.00029687,             0.00029687,             0.00029687
                     68,                0.76236,                 0.4868,                 1.2335,                0.96815,                0.98516,                0.98663,                0.76035,                0.87237,                0.36952,                 1.3564,              0.0002934,              0.0002934,              0.0002934
                     69,                0.76399,                0.48831,                 1.2306,                   0.98,                0.98254,                0.98775,                0.76868,                0.88456,                0.36474,                  1.329,             0.00028993,             0.00028993,             0.00028993
                     70,                0.75973,                0.48904,                 1.2225,                0.98623,                0.98455,                0.98884,                0.76597,                0.89429,                0.35658,                 1.3438,             0.00028646,             0.00028646,             0.00028646
                     71,                0.75713,                0.47908,                 1.2129,                 0.9844,                0.98486,                0.98798,                0.75653,                0.88771,                0.36216,                 1.3999,             0.00028299,             0.00028299,             0.00028299
                     72,                0.76186,                0.47368,                 1.2237,                0.98106,                0.98245,                0.98945,                0.77635,                0.86934,                0.35336,                 1.3313,             0.00027952,             0.00027952,             0.00027952
                     73,                 0.7433,                0.46794,                 1.2107,                0.98373,                 0.9886,                0.98874,                0.76262,                0.89143,                0.35364,                  1.363,             0.00027604,             0.00027604,             0.00027604
                     74,                0.75292,                0.47405,                 1.2101,                0.98121,                0.98696,                0.98663,                0.76105,                 0.8962,                0.35076,                 1.3529,             0.00027257,             0.00027257,             0.00027257
                     75,                0.76099,                0.47476,                 1.2229,                0.96924,                0.97987,                0.98755,                 0.7634,                 0.8775,                0.36908,                 1.3819,              0.0002691,              0.0002691,              0.0002691
                     76,                0.74094,                0.45915,                  1.208,                0.98593,                 0.9847,                 0.9864,                0.76584,                0.88485,                0.35345,                 1.3876,             0.00026563,             0.00026563,             0.00026563
                     77,                 0.7439,                0.46573,                 1.2106,                  0.981,                0.98445,                0.98946,                0.77734,                0.86701,                0.35539,                 1.3361,             0.00026216,             0.00026216,             0.00026216
                     78,                0.74338,                 0.4628,                 1.2048,                0.98421,                0.97656,                0.98777,                0.75436,                0.89733,                 0.3543,                 1.3856,             0.00025869,             0.00025869,             0.00025869
                     79,                0.74192,                 0.4576,                 1.2067,                0.98396,                0.98886,                0.99152,                0.78288,                 0.8528,                 0.3421,                 1.3182,             0.00025522,             0.00025522,             0.00025522
                     80,                0.72115,                0.45422,                 1.1953,                0.98255,                0.99129,                0.99127,                0.77947,                0.84897,                0.34226,                  1.333,             0.00025174,             0.00025174,             0.00025174
                     81,                0.74668,                0.45734,                 1.2066,                0.98815,                 0.9881,                0.98999,                0.77089,                 0.8793,                0.33998,                 1.3625,             0.00024827,             0.00024827,             0.00024827
                     82,                 0.7354,                 0.4568,                 1.2004,                0.98965,                0.98476,                0.99053,                0.77448,                0.87338,                0.33853,                 1.3359,              0.0002448,              0.0002448,              0.0002448
