                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1296,                 4.9269,                 4.3067,                      0,                      0,                      0,                      0,                 2.4925,                 4.8191,                 4.1651,              9.468e-05,              9.468e-05,              9.468e-05
                      2,                 2.9945,                 4.5744,                 3.9032,                      0,                      0,                      0,                      0,                 2.4805,                 4.8765,                 4.2053,             0.00019334,             0.00019334,             0.00019334
                      3,                 2.7642,                 4.0482,                 3.3748,                  1e-05,                 0.0019,                  1e-05,                      0,                 2.4253,                 4.9824,                 4.2681,             0.00029067,             0.00029067,             0.00029067
                      4,                  2.423,                 3.4212,                 2.8456,                  8e-05,                 0.0019,                  5e-05,                  1e-05,                 2.3732,                 5.0469,                 4.2783,             0.00038669,             0.00038669,             0.00038669
                      5,                 2.0484,                 2.9864,                 2.4607,                  8e-05,                 0.0019,                  5e-05,                  1e-05,                  2.362,                  5.107,                 4.2676,             0.00048139,             0.00048139,             0.00048139
                      6,                 1.7628,                 2.7269,                 2.1617,                  8e-05,                 0.0019,                  5e-05,                  1e-05,                 2.3388,                 5.1105,                 4.2441,             0.00050864,             0.00050864,             0.00050864
                      7,                 1.6174,                 2.5179,                 1.9671,                0.00513,                0.00057,                0.00264,                0.00053,                 2.1963,                 4.9812,                 4.1294,             0.00050517,             0.00050517,             0.00050517
                      8,                 1.5405,                 2.3902,                 1.8731,                0.04989,                0.50881,                0.07618,                0.04375,                 1.7273,                 3.7719,                 2.9459,              0.0005017,              0.0005017,              0.0005017
                      9,                 1.4593,                 2.2507,                 1.7957,                 0.0621,                0.93164,                 0.2003,                0.11377,                 1.4554,                 2.8243,                 2.1084,             0.00049823,             0.00049823,             0.00049823
                     10,                 1.4294,                 2.1439,                 1.7472,                0.32604,                0.56294,                0.37438,                0.23683,                 1.2628,                 2.0594,                 1.7579,             0.00049476,             0.00049476,             0.00049476
                     11,                 1.3868,                 2.0543,                  1.704,                0.25934,                0.46493,                0.36419,                0.25408,                 1.0718,                 2.0544,                  1.503,             0.00049128,             0.00049128,             0.00049128
                     12,                 1.3516,                 1.9703,                 1.6649,                0.36248,                0.60851,                0.50542,                 0.3415,                 1.1264,                 1.6911,                 1.4946,             0.00048781,             0.00048781,             0.00048781
                     13,                 1.3379,                 1.8875,                 1.6398,                0.43139,                 0.7041,                0.58991,                0.41118,                 1.0655,                 1.4942,                 1.4477,             0.00048434,             0.00048434,             0.00048434
                     14,                 1.2997,                 1.8255,                 1.6002,                0.43454,                0.72096,                0.65585,                0.45696,                 1.0371,                 1.3746,                 1.4279,             0.00048087,             0.00048087,             0.00048087
                     15,                 1.2899,                 1.7732,                 1.5821,                0.52513,                0.73397,                0.63609,                0.38296,                 1.3215,                 1.3382,                 1.6708,              0.0004774,              0.0004774,              0.0004774
                     16,                 1.2662,                 1.7188,                 1.5659,                0.46081,                0.73111,                0.60042,                 0.4177,                 1.0568,                 1.3765,                 1.4217,             0.00047393,             0.00047393,             0.00047393
                     17,                 1.2674,                 1.6818,                 1.5617,                0.41164,                0.71842,                0.56522,                0.39792,                  1.019,                 1.4464,                 1.3862,             0.00047045,             0.00047045,             0.00047045
                     18,                  1.259,                 1.6747,                 1.5517,                0.57781,                 0.7264,                0.73412,                0.51865,                 1.0571,                 1.1785,                 1.4071,             0.00046698,             0.00046698,             0.00046698
                     19,                 1.2602,                 1.6189,                 1.5413,                0.69194,                 0.7919,                 0.8187,                0.55172,                 1.1669,                 1.0891,                  1.432,             0.00046351,             0.00046351,             0.00046351
                     20,                 1.2485,                 1.5882,                 1.5375,                 0.5564,                0.74852,                0.71043,                0.44398,                 1.3536,                 1.3032,                 1.5678,             0.00046004,             0.00046004,             0.00046004
                     21,                 1.2333,                 1.5603,                 1.5252,                0.56841,                0.81676,                0.79416,                0.55272,                 1.0115,                 1.1002,                 1.4024,             0.00045657,             0.00045657,             0.00045657
                     22,                 1.2009,                 1.5174,                 1.4997,                0.54843,                0.72238,                0.70061,                0.50078,                0.99463,                 1.1633,                 1.3476,              0.0004531,              0.0004531,              0.0004531
                     23,                 1.2063,                 1.4547,                 1.4857,                0.63483,                0.80305,                0.84343,                0.60217,                0.99386,                 1.0103,                 1.3492,             0.00044962,             0.00044962,             0.00044962
                     24,                 1.1889,                 1.4506,                 1.4763,                0.55265,                0.74785,                0.71982,                0.49601,                 1.0729,                 1.3404,                 1.4626,             0.00044615,             0.00044615,             0.00044615
                     25,                 1.1881,                 1.4202,                 1.4758,                0.64388,                0.78765,                0.79422,                0.55056,                  1.028,                 1.0659,                  1.425,             0.00044268,             0.00044268,             0.00044268
                     26,                 1.1813,                 1.3742,                 1.4685,                0.48995,                0.66722,                0.62673,                0.44891,                0.98673,                 1.5659,                 1.3679,             0.00043921,             0.00043921,             0.00043921
                     27,                 1.1798,                 1.3753,                 1.4783,                0.67838,                0.82452,                0.82095,                0.57079,                 1.0798,                 1.0183,                 1.3833,             0.00043574,             0.00043574,             0.00043574
                     28,                 1.1633,                 1.3149,                 1.4582,                0.73199,                0.81042,                0.87028,                 0.5636,                 1.1695,                0.93879,                 1.5521,             0.00043227,             0.00043227,             0.00043227
                     29,                 1.1718,                 1.2985,                 1.4561,                0.54511,                0.74153,                0.67697,                0.45842,                 1.0817,                 1.2658,                 1.4649,              0.0004288,              0.0004288,              0.0004288
                     30,                 1.1553,                 1.2818,                  1.431,                0.72138,                0.79796,                0.86006,                  0.544,                 1.1949,                 0.9775,                  1.581,             0.00042532,             0.00042532,             0.00042532
                     31,                 1.1509,                 1.2638,                 1.4287,                0.68188,                0.75749,                0.80501,                0.57531,                0.97906,                 1.0248,                 1.3642,             0.00042185,             0.00042185,             0.00042185
                     32,                 1.1531,                 1.2412,                  1.428,                0.81135,                0.84567,                0.90866,                0.63294,                 1.0348,                0.78438,                 1.4298,             0.00041838,             0.00041838,             0.00041838
                     33,                 1.1506,                 1.2357,                  1.424,                0.84231,                0.88777,                0.94407,                0.68046,                0.97131,                0.70585,                 1.3561,             0.00041491,             0.00041491,             0.00041491
