                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1711,                 3.9367,                 1.2009,                      0,                      0,                      0,                      0,                 3.5676,                 3.9016,                 2.5814,              9.468e-05,              9.468e-05,              9.468e-05
                      2,                 1.0091,                  3.279,                 1.1308,                      0,                      0,                      0,                      0,                 1.9432,                  4.059,                 1.9503,             0.00019334,             0.00019334,             0.00019334
                      3,                 1.0907,                 2.5051,                 1.2424,                0.17492,                0.20113,                0.21464,                0.08652,                  1.173,                  4.187,                 1.6861,             0.00029067,             0.00029067,             0.00029067
                      4,                 1.0669,                  1.769,                 1.2446,                0.08228,                0.45094,                0.27731,                0.10786,                 1.2125,                 4.0624,                 1.4956,             0.00038669,             0.00038669,             0.00038669
                      5,                 1.0669,                 1.3314,                 1.2154,                0.08535,                0.58858,                0.42766,                0.26846,                0.99727,                 3.6467,                 1.2082,             0.00048139,             0.00048139,             0.00048139
                      6,                 1.0403,                 1.1581,                 1.1912,                0.18553,                0.88179,                0.76597,                0.54795,                0.89351,                 3.1613,                  1.084,             0.00050864,             0.00050864,             0.00050864
                      7,                 1.0308,                 1.0531,                 1.1751,                0.13947,                0.99822,                0.96625,                0.68423,                0.99376,                 2.7428,                 1.1452,             0.00050517,             0.00050517,             0.00050517
                      8,                 1.0144,                 1.0162,                 1.1773,                0.98337,                0.40854,                0.95867,                0.69208,                0.97147,                 2.0783,                 1.1472,              0.0005017,              0.0005017,              0.0005017
                      9,                 1.0105,                 0.9562,                 1.1792,                0.95354,                0.69408,                0.95822,                0.66488,                 1.0992,                 1.6785,                 1.1938,             0.00049823,             0.00049823,             0.00049823
                     10,                  1.005,                0.93223,                 1.1679,                 0.9027,                0.88755,                 0.9548,                0.64534,                 1.0575,                 1.1055,                 1.2456,             0.00049476,             0.00049476,             0.00049476
                     11,                0.99002,                0.87768,                 1.1693,                0.93016,                0.92711,                0.96859,                0.67187,                 1.1029,                0.83419,                  1.181,             0.00049128,             0.00049128,             0.00049128
                     12,                0.98293,                0.85975,                 1.1616,                0.96029,                0.95623,                0.97491,                0.69799,                 1.0259,                0.69482,                  1.141,             0.00048781,             0.00048781,             0.00048781
                     13,                0.98061,                0.84869,                  1.153,                0.91211,                0.90441,                0.96178,                0.70774,                0.92319,                0.75008,                 1.1466,             0.00048434,             0.00048434,             0.00048434
                     14,                0.95238,                0.79112,                 1.1372,                0.96609,                0.97341,                0.98813,                0.73837,                0.92474,                0.52876,                 1.1326,             0.00048087,             0.00048087,             0.00048087
