                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.235,                 4.0325,                 1.2993,                      0,                      0,                      0,                      0,                 3.9209,                 4.2255,                 3.4387,              9.468e-05,              9.468e-05,              9.468e-05
                      2,                 1.0297,                 3.2178,                 1.1446,                0.00146,                0.00861,                0.00152,                0.00025,                 2.5804,                 4.2977,                 2.6151,             0.00019334,             0.00019334,             0.00019334
                      3,                 1.1012,                 2.5157,                 1.2589,                0.00593,                0.02071,                0.00305,                0.00088,                  1.677,                  4.777,                 2.5979,             0.00029067,             0.00029067,             0.00029067
                      4,                 1.0739,                  1.891,                 1.2508,                0.00515,                0.12538,                0.00585,                0.00146,                 1.5349,                 4.7768,                 2.4188,             0.00038669,             0.00038669,             0.00038669
                      5,                 1.0769,                 1.4876,                 1.2272,                0.56559,                0.43043,                0.44717,                0.31102,                 1.0404,                 2.3906,                 1.2175,             0.00048139,             0.00048139,             0.00048139
                      6,                 1.0405,                 1.2886,                 1.1983,                0.68883,                0.72213,                0.77573,                0.55105,                 1.0133,                 1.4983,                 1.1375,             0.00050864,             0.00050864,             0.00050864
                      7,                 1.0245,                 1.1134,                 1.1765,                0.80408,                0.82554,                0.89901,                0.64838,                0.96234,                 1.1173,                 1.1385,             0.00050517,             0.00050517,             0.00050517
                      8,                 1.0215,                 1.0709,                 1.1848,                0.80635,                0.84452,                0.88943,                0.63736,                 1.0337,                 1.0803,                 1.1598,              0.0005017,              0.0005017,              0.0005017
                      9,                 1.0092,                0.98772,                 1.1856,                0.87815,                0.88683,                 0.9554,                0.70336,                0.94372,                0.78002,                 1.1361,             0.00049823,             0.00049823,             0.00049823
                     10,                 1.0008,                0.94889,                   1.17,                0.82851,                0.86178,                0.92448,                0.66198,                0.95965,                0.82388,                 1.2085,             0.00049476,             0.00049476,             0.00049476
                     11,                0.99001,                0.88678,                 1.1747,                0.96017,                0.94048,                0.98459,                 0.6801,                 1.1027,                0.66262,                  1.193,             0.00049128,             0.00049128,             0.00049128
                     12,                0.96989,                0.86864,                 1.1657,                0.91844,                0.92263,                0.95961,                0.66754,                 1.0091,                0.72317,                 1.2526,             0.00048781,             0.00048781,             0.00048781
                     13,                0.97542,                0.83874,                 1.1646,                0.88936,                0.89133,                0.96276,                0.68094,                0.97304,                0.71003,                 1.2308,             0.00048434,             0.00048434,             0.00048434
                     14,                0.95217,                0.79758,                 1.1483,                0.96588,                0.95082,                0.98531,                0.71687,                 1.0028,                0.54787,                 1.1753,             0.00048087,             0.00048087,             0.00048087
                     15,                0.93373,                  0.777,                 1.1375,                0.91403,                0.87765,                0.92244,                0.66034,                0.98493,                0.71477,                 1.2035,              0.0004774,              0.0004774,              0.0004774
                     16,                0.93399,                0.75604,                 1.1469,                 0.9188,                0.92611,                0.97461,                0.69109,                 1.0295,                0.65562,                 1.1594,             0.00047393,             0.00047393,             0.00047393
                     17,                0.92895,                0.76058,                  1.143,                0.97319,                0.94995,                 0.9878,                 0.7187,                0.97215,                0.54333,                 1.1527,             0.00047045,             0.00047045,             0.00047045
                     18,                0.91514,                0.74777,                  1.138,                0.97045,                0.97119,                0.98839,                0.74077,                0.92368,                0.48486,                 1.1558,             0.00046698,             0.00046698,             0.00046698
                     19,                0.92339,                0.72074,                 1.1331,                0.91757,                0.92025,                 0.9745,                0.72721,                0.89506,                0.56723,                 1.1639,             0.00046351,             0.00046351,             0.00046351
                     20,                0.91171,                0.71269,                 1.1343,                0.92525,                0.91266,                0.97214,                0.73165,                0.89734,                0.57084,                 1.1579,             0.00046004,             0.00046004,             0.00046004
                     21,                0.90156,                0.70101,                 1.1274,                0.95706,                0.97416,                0.98622,                0.70963,                0.99778,                 0.5152,                 1.2045,             0.00045657,             0.00045657,             0.00045657
                     22,                0.88706,                0.67135,                 1.1248,                 0.9693,                0.97558,                 0.9894,                0.73058,                0.97325,                0.51482,                 1.1695,              0.0004531,              0.0004531,              0.0004531
                     23,                0.89427,                 0.6693,                 1.1243,                0.96197,                0.97026,                0.98991,                0.73688,                0.92553,                0.48702,                 1.1249,             0.00044962,             0.00044962,             0.00044962
                     24,                0.87506,                0.65087,                 1.1113,                 0.9256,                0.92605,                0.96773,                0.67351,                 1.0103,                0.57752,                  1.291,             0.00044615,             0.00044615,             0.00044615
                     25,                0.87965,                0.64781,                 1.1185,                 0.9801,                0.98322,                0.99104,                0.75473,                0.90493,                0.44531,                  1.159,             0.00044268,             0.00044268,             0.00044268
                     26,                 0.8744,                0.63322,                 1.1177,                 0.9363,                0.91447,                0.92511,                 0.6771,                0.97677,                0.68445,                 1.1821,             0.00043921,             0.00043921,             0.00043921
                     27,                0.87527,                0.64382,                  1.126,                0.97889,                0.98257,                0.99185,                0.76233,                0.87517,                0.42219,                 1.1428,             0.00043574,             0.00043574,             0.00043574
                     28,                0.85494,                0.61818,                 1.1131,                0.96612,                0.96379,                0.98035,                0.70206,                0.97376,                0.45816,                 1.2757,             0.00043227,             0.00043227,             0.00043227
                     29,                0.86062,                0.61321,                 1.1126,                 0.9053,                0.93337,                0.96518,                0.73554,                 0.8715,                0.54841,                 1.1473,              0.0004288,              0.0004288,              0.0004288
                     30,                  0.855,                0.58705,                 1.0996,                0.94253,                0.94837,                 0.9801,                0.73575,                0.88125,                0.47958,                 1.1792,             0.00042532,             0.00042532,             0.00042532
                     31,                0.83995,                0.58998,                 1.0946,                0.96828,                0.95586,                0.98726,                0.75007,                0.88889,                0.44916,                 1.1746,             0.00042185,             0.00042185,             0.00042185
                     32,                0.84531,                0.58411,                 1.0985,                 0.9427,                0.95224,                0.98165,                0.74117,                0.88393,                0.46477,                 1.1501,             0.00041838,             0.00041838,             0.00041838
                     33,                0.84421,                0.58697,                 1.0995,                0.96086,                0.96519,                0.98525,                0.71813,                0.90553,                0.46014,                 1.2198,             0.00041491,             0.00041491,             0.00041491
                     34,                0.83133,                0.57406,                 1.0949,                0.97499,                 0.9836,                0.99138,                 0.7482,                0.92256,                0.42294,                 1.1509,             0.00041144,             0.00041144,             0.00041144
                     35,                0.82898,                0.57006,                 1.0897,                0.96961,                0.96727,                0.98654,                0.74386,                0.91633,                0.42581,                 1.1778,             0.00040797,             0.00040797,             0.00040797
                     36,                0.82703,                 0.5622,                 1.0935,                0.96441,                0.95264,                0.98163,                0.74289,                0.88344,                0.44598,                 1.1408,             0.00040449,             0.00040449,             0.00040449
                     37,                0.82939,                 0.5619,                  1.094,                0.98636,                0.98637,                0.98913,                0.76677,                0.84205,                0.38251,                 1.1279,             0.00040102,             0.00040102,             0.00040102
                     38,                0.82157,                0.55627,                 1.0833,                0.96244,                0.96381,                 0.9861,                0.75749,                0.88042,                0.43393,                 1.1238,             0.00039755,             0.00039755,             0.00039755
                     39,                0.80772,                0.54106,                 1.0917,                0.98192,                0.98513,                0.98723,                0.73917,                0.89053,                 0.4005,                 1.1766,             0.00039408,             0.00039408,             0.00039408
                     40,                0.81938,                0.54013,                   1.09,                0.98114,                0.97508,                0.98806,                0.74533,                0.86884,                  0.408,                 1.1724,             0.00039061,             0.00039061,             0.00039061
