epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.1981,1.05657,3.85515,1.15637,0,0,0,0,0.72059,3.78146,0.92433,8.942e-05,8.942e-05,8.942e-05
2,90.0425,0.9992,3.72994,1.09441,0.08119,0.6557,0.1035,0.07484,0.74671,3.72032,0.90726,0.000182277,0.000182277,0.000182277
3,133.904,0.94159,3.52992,1.10766,0.05377,0.97955,0.16421,0.11552,0.70198,3.63363,0.93375,0.00027326,0.00027326,0.00027326
4,177.861,0.95539,3.3735,1.14756,0.80491,0.08309,0.22178,0.16679,0.75041,3.29933,0.9761,0.000362368,0.000362368,0.000362368
5,221.371,0.97308,3.20516,1.11585,0.95782,0.09608,0.23377,0.17786,0.79577,2.98425,1.0001,0.000449602,0.000449602,0.000449602
6,264.828,0.94372,3.05772,1.13896,0.15907,0.55337,0.24932,0.18873,0.88002,2.81649,1.02203,0.000499963,0.000499963,0.000499963
7,308.552,1.15884,2.91117,1.25382,0.1797,0.48733,0.28243,0.2107,0.92513,2.76975,1.04989,0.000494756,0.000494756,0.000494756
8,352.452,0.98085,2.75852,1.14304,0.29304,0.32016,0.28609,0.21329,0.86912,2.82542,1.093,0.000489548,0.000489548,0.000489548
9,396.006,0.99101,2.66633,1.2266,0.33031,0.4288,0.31895,0.24026,0.85115,2.63344,1.14247,0.000484341,0.000484341,0.000484341
10,439.731,1.0015,2.55959,1.19493,0.43763,0.37836,0.33819,0.24798,0.84846,2.47836,1.15049,0.000479133,0.000479133,0.000479133
11,483.907,1.03335,2.48101,1.21549,0.40842,0.64665,0.43423,0.31571,0.9264,2.19938,1.1372,0.000473926,0.000473926,0.000473926
12,527.773,1.11796,2.39942,1.26909,0.26809,0.82036,0.46391,0.34192,0.95372,2.23163,1.12399,0.000468719,0.000468719,0.000468719
13,572.009,1.04812,2.25041,1.21772,0.44101,0.66808,0.51127,0.37574,0.92204,2.29307,1.12738,0.000463511,0.000463511,0.000463511
14,615.534,1.01836,2.19167,1.2202,0.45887,0.65233,0.53556,0.39676,0.88684,2.24111,1.14092,0.000458304,0.000458304,0.000458304
15,659.984,1.00452,2.11228,1.20192,0.51268,0.62793,0.54526,0.4021,0.85578,2.09266,1.16364,0.000453096,0.000453096,0.000453096
16,703.414,0.96513,2.11138,1.20149,0.42814,0.75434,0.57008,0.42959,0.84129,1.88158,1.15561,0.000447889,0.000447889,0.000447889
