                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2003,                 3.9534,                 1.2152,                      0,                      0,                      0,                      0,                 2.6455,                 4.1097,                 2.1876,              8.942e-05,              8.942e-05,              8.942e-05
                      2,                 1.0138,                 3.7906,                   1.12,                      0,                      0,                      0,                      0,                 1.4514,                 4.0583,                 1.4428,             0.00018228,             0.00018228,             0.00018228
                      3,                0.92914,                 3.5535,                 1.0786,                0.11068,                0.08051,                 0.0874,                0.05536,                0.95772,                 3.8106,                 1.1178,             0.00027326,             0.00027326,             0.00027326
                      4,                0.94069,                 3.4036,                 1.1396,                0.07263,                0.92197,                0.18829,                0.14014,                0.76102,                 3.4764,                0.94355,             0.00036237,             0.00036237,             0.00036237
                      5,                 1.0258,                 3.2834,                 1.2247,                0.05894,                      1,                0.21411,                0.15618,                0.78938,                 3.3434,                0.93852,              0.0004496,              0.0004496,              0.0004496
                      6,                 1.0201,                 3.1428,                 1.1721,                0.04693,                      1,                  0.258,                0.18845,                0.80882,                 3.1426,                0.95692,             0.00049996,             0.00049996,             0.00049996
                      7,                 1.0295,                 3.0664,                 1.1701,                0.03905,                      1,                0.28785,                0.21108,                0.82306,                 2.9379,                0.96533,             0.00049476,             0.00049476,             0.00049476
                      8,                0.99841,                 2.9017,                 1.1458,                0.62854,                0.12405,                 0.2906,                0.21808,                 0.7855,                 2.8042,                0.97035,             0.00048955,             0.00048955,             0.00048955
                      9,                0.94964,                 2.7966,                 1.1692,                0.44677,                0.20469,                0.29434,                 0.2202,                0.80378,                 2.6641,                0.98745,             0.00048434,             0.00048434,             0.00048434
                     10,                  1.008,                 2.6805,                 1.1695,                0.20336,                0.28129,                0.33095,                0.25246,                0.82458,                  2.425,                 1.0206,             0.00047913,             0.00047913,             0.00047913
