                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0677,                  3.943,                 1.1782,                      0,                      0,                      0,                      0,                  1.089,                 4.0588,                 1.3571,              8.942e-05,              8.942e-05,              8.942e-05
                      2,                0.98666,                 3.8077,                 1.1021,                0.05632,                0.25199,                0.06206,                0.04128,                0.88612,                 3.6676,                0.98898,             0.00018228,             0.00018228,             0.00018228
                      3,                0.92333,                 3.5545,                 1.0731,                0.06039,                0.95177,                0.12007,                0.09266,                0.69761,                 3.4608,                 0.9353,             0.00027326,             0.00027326,             0.00027326
                      4,                0.94096,                 3.4397,                 1.1117,                0.04371,                0.97727,                 0.1596,                0.11573,                0.75482,                 3.1257,                0.95908,             0.00036237,             0.00036237,             0.00036237
                      5,                 1.0007,                 3.2569,                  1.172,                0.62349,                0.19136,                0.20224,                0.15137,                0.80491,                 2.7963,                0.98025,              0.0004496,              0.0004496,              0.0004496
                      6,                0.99082,                 3.0879,                 1.1562,                0.22045,                0.46312,                0.23194,                0.17881,                0.80085,                 2.5683,                 1.0173,             0.00049996,             0.00049996,             0.00049996
                      7,                 1.0082,                   2.98,                 1.1782,                0.10758,                0.55886,                0.21224,                0.16719,                0.79928,                 2.6559,                 1.0234,             0.00049476,             0.00049476,             0.00049476
                      8,                0.97513,                 2.8558,                  1.153,                0.11948,                0.62214,                0.21652,                0.16856,                0.82917,                 2.5498,                 1.0554,             0.00048955,             0.00048955,             0.00048955
                      9,                0.91072,                 2.6677,                 1.1679,                0.30232,                0.45857,                0.25676,                0.19659,                0.83631,                 2.3451,                 1.0879,             0.00048434,             0.00048434,             0.00048434
                     10,                 1.0179,                 2.6043,                  1.187,                 0.2722,                0.44587,                0.32056,                0.24385,                0.84777,                 2.1776,                 1.0958,             0.00047913,             0.00047913,             0.00047913
                     11,                 1.0195,                 2.4715,                 1.2316,                0.33571,                0.50618,                0.39562,                0.30838,                0.84268,                 1.9921,                 1.1328,             0.00047393,             0.00047393,             0.00047393
                     12,                 1.0425,                 2.4066,                 1.2539,                0.33734,                0.62715,                0.43638,                0.34216,                0.86513,                 1.8448,                 1.1243,             0.00046872,             0.00046872,             0.00046872
                     13,                0.99189,                 2.2585,                 1.2152,                0.36012,                0.64607,                0.49434,                0.38618,                0.85322,                 1.7401,                 1.0975,             0.00046351,             0.00046351,             0.00046351
