                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1253,                 4.0184,                 1.1965,                      0,                      0,                      0,                      0,                 3.9163,                 4.1917,                 3.1406,              8.942e-05,              8.942e-05,              8.942e-05
                      2,                 1.0073,                   3.78,                 1.0858,                      0,                      0,                      0,                      0,                 3.5887,                 4.2206,                 2.9761,             0.00018228,             0.00018228,             0.00018228
                      3,                0.96144,                 3.5901,                 1.0637,                      0,                      0,                      0,                      0,                 2.9907,                 4.2355,                 2.6832,             0.00027326,             0.00027326,             0.00027326
                      4,                0.95449,                 3.4446,                 1.0993,                      0,                      0,                      0,                      0,                 2.1114,                 4.2533,                 2.1658,             0.00036237,             0.00036237,             0.00036237
                      5,                 1.0282,                 3.3289,                 1.1718,                      0,                      0,                      0,                      0,                 1.2219,                 4.2164,                 1.5634,              0.0004496,              0.0004496,              0.0004496
                      6,                0.98149,                 3.2578,                 1.1104,                0.05308,                0.78684,                0.13365,                0.09592,                0.97355,                  3.711,                 1.1047,             0.00049996,             0.00049996,             0.00049996
                      7,                 1.0267,                 3.1967,                 1.1522,                0.04025,                0.92121,                0.16493,                0.11944,                0.89188,                 3.4217,                 1.0184,             0.00049476,             0.00049476,             0.00049476
                      8,                 1.0176,                 3.0847,                  1.132,                0.03871,                0.96317,                0.20476,                0.15686,                0.80761,                 3.1933,                 0.9891,             0.00048955,             0.00048955,             0.00048955
                      9,                0.91332,                 2.8989,                 1.1414,                0.17755,                0.56263,                0.25703,                0.19702,                0.78059,                 2.8805,                  1.002,             0.00048434,             0.00048434,             0.00048434
                     10,                 1.0125,                 2.8878,                  1.145,                0.48887,                0.36301,                0.31711,                0.24299,                0.83196,                 2.5611,                 1.0397,             0.00047913,             0.00047913,             0.00047913
                     11,                 1.0309,                 2.7434,                 1.1864,                0.37146,                0.47356,                0.37836,                0.29485,                0.82498,                  2.193,                 1.0693,             0.00047393,             0.00047393,             0.00047393
                     12,                 1.0249,                 2.6924,                  1.195,                 0.3699,                0.53231,                0.41744,                0.31623,                0.83307,                 2.1192,                 1.0629,             0.00046872,             0.00046872,             0.00046872
                     13,                0.99882,                 2.5554,                 1.1703,                 0.4753,                0.57579,                0.45536,                0.35912,                0.82153,                 1.9726,                 1.0589,             0.00046351,             0.00046351,             0.00046351
                     14,                0.99692,                 2.4319,                 1.1808,                0.45856,                0.60634,                0.50429,                 0.3877,                0.85277,                 1.8675,                 1.0628,              0.0004583,              0.0004583,              0.0004583
                     15,                0.96507,                  2.434,                  1.135,                0.37236,                0.68859,                0.52829,                 0.4131,                0.82378,                 1.8474,                 1.0509,              0.0004531,              0.0004531,              0.0004531
                     16,                 1.0154,                 2.3357,                 1.1773,                0.35835,                0.71429,                0.51149,                0.40366,                0.83165,                 1.8686,                  1.069,             0.00044789,             0.00044789,             0.00044789
                     17,                 1.0531,                 2.3079,                 1.2452,                0.35769,                 0.7581,                0.52819,                  0.423,                0.82544,                 1.7707,                 1.0623,             0.00044268,             0.00044268,             0.00044268
                     18,                 0.9799,                 2.1855,                 1.1453,                0.37726,                0.78427,                0.58016,                0.45626,                0.81182,                  1.629,                 1.0441,             0.00043747,             0.00043747,             0.00043747
                     19,                0.98154,                 2.1984,                 1.1455,                0.37898,                0.81853,                 0.6183,                 0.4769,                0.81743,                 1.5484,                 1.0417,             0.00043227,             0.00043227,             0.00043227
                     20,                 1.0611,                 2.1537,                 1.2305,                0.38966,                0.84945,                0.62765,                0.49093,                0.81573,                 1.5358,                 1.0537,             0.00042706,             0.00042706,             0.00042706
