                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1083,                  9e-05,                  1.213,                      0,                      0,                      0,                      0,                 3.9255,                  7e-05,                 3.0814,              8.942e-05,              8.942e-05,              8.942e-05
                      2,                0.99562,                  9e-05,                  1.101,                      0,                      0,                      0,                      0,                 3.5068,                  7e-05,                 2.9357,             0.00018228,             0.00018228,             0.00018228
                      3,                0.92279,                  9e-05,                 1.0701,                      0,                      0,                      0,                      0,                 2.8347,                  8e-05,                 2.6295,             0.00027326,             0.00027326,             0.00027326
                      4,                0.89541,                  8e-05,                 1.0781,                      0,                      0,                      0,                      0,                  1.615,                 0.0001,                 1.8733,             0.00036237,             0.00036237,             0.00036237
                      5,                0.95626,                  8e-05,                 1.1299,                0.03074,                0.07473,                0.03763,                0.02659,                0.97544,                0.00011,                 1.2728,              0.0004496,              0.0004496,              0.0004496
                      6,                0.94435,                  7e-05,                 1.0935,                0.06235,                0.82143,                0.11614,                0.08096,                0.83776,                0.00011,                  1.002,             0.00049996,             0.00049996,             0.00049996
                      7,                0.94578,                  7e-05,                 1.1018,                0.05743,                0.95169,                0.13355,                0.09633,                0.70605,                 0.0001,                0.95256,             0.00049476,             0.00049476,             0.00049476
                      8,                0.92802,                  7e-05,                 1.1244,                 0.0468,                0.99167,                0.13055,                0.09743,                0.64937,                 0.0001,                0.94073,             0.00048955,             0.00048955,             0.00048955
                      9,                0.87968,                  6e-05,                 1.1481,                0.03648,                      1,                0.12514,                0.09412,                0.65503,                  9e-05,                0.94245,             0.00048434,             0.00048434,             0.00048434
                     10,                0.96258,                  6e-05,                 1.1526,                0.02657,                      1,                0.13339,                0.10259,                0.71076,                  8e-05,                0.96058,             0.00047913,             0.00047913,             0.00047913
                     11,                0.96064,                  6e-05,                 1.1912,                0.13089,                0.50661,                0.12636,                0.09921,                0.77534,                  5e-05,                 1.0721,             0.00047393,             0.00047393,             0.00047393
                     12,                0.99691,                  6e-05,                 1.2404,                0.13617,                0.67622,                0.12751,                0.10113,                0.80464,                  5e-05,                 1.0975,             0.00046872,             0.00046872,             0.00046872
                     13,                0.94647,                  5e-05,                 1.2267,                0.07512,                0.79417,                0.13381,                0.10437,                0.84744,                  6e-05,                  1.109,             0.00046351,             0.00046351,             0.00046351
                     14,                0.95322,                  5e-05,                 1.1924,                0.08447,                0.85462,                0.13427,                 0.1068,                 0.8483,                  5e-05,                 1.0902,              0.0004583,              0.0004583,              0.0004583
                     15,                0.93393,                  5e-05,                 1.1735,                0.08986,                0.68372,                0.14114,                 0.1125,                0.81852,                  5e-05,                 1.0835,              0.0004531,              0.0004531,              0.0004531
                     16,                0.93505,                  5e-05,                 1.1953,                0.09254,                0.59491,                0.14474,                0.11481,                0.81655,                  4e-05,                 1.1008,             0.00044789,             0.00044789,             0.00044789
                     17,                0.99868,                  5e-05,                 1.2772,                0.08882,                0.59505,                0.13931,                0.11259,                0.78348,                  4e-05,                 1.0877,             0.00044268,             0.00044268,             0.00044268
                     18,                 0.9165,                  5e-05,                 1.1764,                0.07964,                0.58501,                0.13725,                0.11202,                0.75415,                  4e-05,                 1.0633,             0.00043747,             0.00043747,             0.00043747
                     19,                0.96039,                  5e-05,                  1.211,                0.07685,                0.54495,                 0.1284,                0.10078,                0.88035,                  4e-05,                 1.0857,             0.00043227,             0.00043227,             0.00043227
                     20,                0.98095,                  5e-05,                 1.2942,                0.08086,                0.54754,                 0.1224,                0.09109,                 1.0112,                  4e-05,                   1.13,             0.00042706,             0.00042706,             0.00042706
                     21,                0.97059,                  4e-05,                 1.2317,                0.08159,                0.46706,                0.12355,                0.09055,                0.99455,                  4e-05,                 1.1117,             0.00042185,             0.00042185,             0.00042185
                     22,                  0.954,                  5e-05,                 1.2553,                0.07721,                0.46371,                 0.1227,                0.09739,                0.89354,                  4e-05,                 1.0714,             0.00041664,             0.00041664,             0.00041664
                     23,                0.92507,                  4e-05,                 1.2009,                0.07558,                0.46849,                0.12602,                 0.1001,                0.88631,                  4e-05,                  1.059,             0.00041144,             0.00041144,             0.00041144
                     24,                0.93479,                  4e-05,                 1.2235,                0.08496,                0.49175,                0.13047,                 0.1078,                 0.8363,                  4e-05,                 1.0447,             0.00040623,             0.00040623,             0.00040623
                     25,                0.98952,                  4e-05,                 1.2601,                0.07869,                0.45855,                0.13052,                0.11106,                0.78799,                  4e-05,                 1.0363,             0.00040102,             0.00040102,             0.00040102
                     26,                0.91245,                  4e-05,                 1.1791,                0.07654,                0.46316,                0.13288,                0.11098,                0.79087,                  4e-05,                 1.0309,             0.00039581,             0.00039581,             0.00039581
                     27,                0.90847,                  4e-05,                 1.1879,                0.08491,                0.32417,                0.13159,                0.10925,                 0.7984,                  4e-05,                 1.0343,             0.00039061,             0.00039061,             0.00039061
                     28,                0.89205,                  4e-05,                 1.1609,                0.07875,                0.39315,                0.13288,                0.11095,                0.79642,                  4e-05,                 1.0297,              0.0003854,              0.0003854,              0.0003854
                     29,                0.90374,                  4e-05,                 1.2079,                0.09827,                 0.2993,                0.14403,                0.12039,                0.79085,                  4e-05,                 1.0479,             0.00038019,             0.00038019,             0.00038019
                     30,                0.95786,                  4e-05,                 1.2654,                0.17593,                0.30069,                0.15673,                0.13321,                0.78163,                  4e-05,                 1.0641,             0.00037499,             0.00037499,             0.00037499
                     31,                0.93446,                  4e-05,                 1.1832,                0.11029,                0.31113,                0.14686,                0.12161,                0.78769,                  4e-05,                 1.0617,             0.00036978,             0.00036978,             0.00036978
                     32,                0.94034,                  4e-05,                 1.2084,                0.10176,                0.35338,                0.13586,                0.11363,                0.77716,                  4e-05,                 1.0641,             0.00036457,             0.00036457,             0.00036457
                     33,                0.88308,                  4e-05,                 1.1914,                0.07607,                0.58686,                0.12946,                0.10675,                0.76816,                  4e-05,                 1.0681,             0.00035936,             0.00035936,             0.00035936
                     34,                 0.9113,                  4e-05,                 1.2297,                0.08116,                0.54303,                0.12352,                0.10126,                0.76179,                  4e-05,                 1.0675,             0.00035416,             0.00035416,             0.00035416
                     35,                0.90689,                  4e-05,                 1.2381,                0.08238,                0.46318,                0.12155,                0.09543,                0.76593,                  4e-05,                 1.0546,             0.00034895,             0.00034895,             0.00034895
                     36,                0.88028,                  4e-05,                  1.179,                 0.0834,                0.43847,                0.12031,                0.09186,                0.77841,                  4e-05,                 1.0601,             0.00034374,             0.00034374,             0.00034374
                     37,                0.91472,                  4e-05,                 1.2036,                0.08546,                0.50127,                 0.1199,                0.09083,                0.76006,                  4e-05,                 1.0635,             0.00033853,             0.00033853,             0.00033853
