                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1578,                 5.0832,                 4.2896,                      0,                      0,                      0,                      0,                 2.4336,                 4.8604,                 4.1634,              8.942e-05,              8.942e-05,              8.942e-05
                      2,                 3.1822,                 5.0709,                 4.2509,                      0,                      0,                      0,                      0,                 2.4343,                 4.8619,                 4.1709,             0.00018228,             0.00018228,             0.00018228
                      3,                  3.099,                 4.9702,                 4.1831,                      0,                      0,                      0,                      0,                 2.4333,                 4.8681,                  4.182,             0.00027326,             0.00027326,             0.00027326
                      4,                 2.9826,                 4.9329,                 4.1268,                      0,                      0,                      0,                      0,                 2.4348,                  4.885,                 4.2076,             0.00036237,             0.00036237,             0.00036237
                      5,                 2.9334,                 4.8333,                  4.064,                      0,                      0,                      0,                      0,                 2.4348,                 4.8966,                 4.2277,              0.0004496,              0.0004496,              0.0004496
                      6,                 2.9876,                 4.7903,                 4.0438,                0.00028,                0.00556,                0.00016,                  3e-05,                 2.4353,                 4.9197,                  4.264,             0.00049996,             0.00049996,             0.00049996
                      7,                 3.0536,                 4.6861,                 3.9878,                0.00074,                0.00556,                 0.0004,                0.00016,                 2.4337,                 4.9522,                 4.3072,             0.00049476,             0.00049476,             0.00049476
                      8,                 2.8851,                  4.591,                 3.9276,                0.00109,                0.00556,                0.00061,                0.00024,                 2.4285,                 4.9791,                 4.3382,             0.00048955,             0.00048955,             0.00048955
                      9,                 2.8997,                 4.4362,                 3.8964,                0.00109,                0.00556,                0.00061,                0.00024,                 2.4247,                 4.9685,                 4.3212,             0.00048434,             0.00048434,             0.00048434
                     10,                 2.9204,                 4.4253,                 3.8377,                0.00109,                0.00556,                0.00061,                0.00024,                 2.4572,                 4.8519,                 4.1919,             0.00047913,             0.00047913,             0.00047913
