                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1609,                 5.0501,                 4.2329,                      0,                      0,                      0,                      0,                  2.443,                 4.8599,                 4.1644,              8.942e-05,              8.942e-05,              8.942e-05
                      2,                 3.1544,                 4.9522,                 4.1503,                      0,                      0,                      0,                      0,                 2.4092,                  4.854,                  4.191,             0.00018228,             0.00018228,             0.00018228
                      3,                 3.0004,                 4.6712,                  4.059,                      0,                      0,                      0,                      0,                 2.3865,                 4.8557,                 4.1953,             0.00027326,             0.00027326,             0.00027326
                      4,                  2.806,                 4.3727,                 3.9752,                      0,                      0,                      0,                      0,                 2.3361,                 4.8474,                 4.0992,             0.00036237,             0.00036237,             0.00036237
                      5,                 2.7033,                 4.1856,                 3.9351,                      0,                      0,                      0,                      0,                 2.2713,                 4.7878,                  3.983,              0.0004496,              0.0004496,              0.0004496
                      6,                 2.7395,                 4.0891,                 3.9117,                      0,                      0,                      0,                      0,                 2.0402,                 4.5589,                 3.6839,             0.00049996,             0.00049996,             0.00049996
                      7,                 2.6547,                 3.8659,                 3.9085,                0.00088,                0.01212,                0.00819,                0.00419,                 1.8708,                 4.2394,                 3.5947,             0.00049476,             0.00049476,             0.00049476
                      8,                 2.4508,                 3.6836,                 3.8397,                0.03777,                0.31727,                0.08405,                0.03849,                 1.8119,                 3.8822,                 3.5888,             0.00048955,             0.00048955,             0.00048955
                      9,                  2.367,                 3.5974,                 3.8145,                0.01617,                0.82586,                0.11487,                0.04605,                  1.866,                 3.5093,                 3.5787,             0.00048434,             0.00048434,             0.00048434
                     10,                 2.3192,                 3.4664,                 3.8224,                0.01584,                0.88306,                0.13402,                0.06239,                  1.786,                  3.208,                 3.4461,             0.00047913,             0.00047913,             0.00047913
                     11,                  2.234,                 3.2619,                 3.6419,                0.15363,                0.27577,                0.16528,                0.08006,                 1.7633,                  2.861,                 3.3286,             0.00047393,             0.00047393,             0.00047393
                     12,                 2.1606,                 3.1516,                 3.6094,                0.15543,                  0.374,                0.19458,                0.10164,                 1.7292,                 2.7214,                 3.3071,             0.00046872,             0.00046872,             0.00046872
