                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1993,                  8e-05,                 4.4738,                      0,                      0,                      0,                      0,                 2.4326,                0.00013,                 4.1569,              8.942e-05,              8.942e-05,              8.942e-05
                      2,                 3.2542,                  8e-05,                 4.3908,                      0,                      0,                      0,                      0,                 2.4299,                0.00013,                 4.1559,             0.00018228,             0.00018228,             0.00018228
                      3,                 3.1537,                  8e-05,                 4.2322,                      0,                      0,                      0,                      0,                 2.4267,                0.00013,                 4.1587,             0.00027326,             0.00027326,             0.00027326
                      4,                 3.0378,                  8e-05,                 4.1609,                      0,                      0,                      0,                      0,                 2.4246,                0.00013,                 4.1683,             0.00036237,             0.00036237,             0.00036237
                      5,                 3.0003,                  8e-05,                 4.0851,                      0,                      0,                      0,                      0,                 2.4213,                0.00013,                 4.1806,              0.0004496,              0.0004496,              0.0004496
                      6,                 3.0761,                  8e-05,                 4.0223,                      0,                      0,                      0,                      0,                 2.4247,                0.00013,                 4.2019,             0.00049996,             0.00049996,             0.00049996
                      7,                  3.093,                  7e-05,                 3.9802,                      0,                      0,                      0,                      0,                 2.4236,                0.00013,                 4.2248,             0.00049476,             0.00049476,             0.00049476
                      8,                 2.9472,                  8e-05,                 3.9081,                      0,                      0,                      0,                      0,                  2.424,                0.00013,                 4.2437,             0.00048955,             0.00048955,             0.00048955
                      9,                 2.9914,                  7e-05,                 3.8916,                      0,                      0,                      0,                      0,                 2.4266,                0.00013,                 4.2431,             0.00048434,             0.00048434,             0.00048434
                     10,                 2.9752,                  7e-05,                 3.8265,                      0,                      0,                      0,                      0,                 2.4678,                0.00012,                 4.1625,             0.00047913,             0.00047913,             0.00047913
                     11,                 2.8894,                  7e-05,                 3.7732,                 0.0115,                0.17602,                0.03005,                0.00887,                 2.4945,                  9e-05,                 3.7926,             0.00047393,             0.00047393,             0.00047393
                     12,                 2.8758,                  7e-05,                 3.7228,                0.00767,                0.45395,                0.04099,                0.00963,                 2.3344,                  8e-05,                 3.6179,             0.00046872,             0.00046872,             0.00046872
                     13,                 2.7683,                  7e-05,                 3.6777,                0.59334,                0.07374,                0.04084,                0.01028,                 2.2682,                  8e-05,                 3.4979,             0.00046351,             0.00046351,             0.00046351
                     14,                 2.7466,                  7e-05,                 3.6275,                0.57872,                0.05102,                0.05149,                0.01231,                 2.2408,                  7e-05,                 3.4424,              0.0004583,              0.0004583,              0.0004583
                     15,                 2.7695,                  7e-05,                 3.5821,                 0.5336,                0.11337,                0.05559,                0.01289,                 2.2061,                  7e-05,                 3.3894,              0.0004531,              0.0004531,              0.0004531
                     16,                 2.6968,                  7e-05,                 3.5515,                0.63495,                0.08768,                0.05609,                0.01596,                 2.1976,                  7e-05,                 3.3506,             0.00044789,             0.00044789,             0.00044789
                     17,                 2.6936,                  7e-05,                 3.5262,                0.36099,                0.09539,                0.04095,                0.01319,                 2.1616,                  7e-05,                 3.3169,             0.00044268,             0.00044268,             0.00044268
                     18,                 2.5766,                  7e-05,                 3.4423,                0.43981,                0.14247,                0.04785,                0.01673,                 2.0838,                  7e-05,                 3.2669,             0.00043747,             0.00043747,             0.00043747
                     19,                 2.6583,                  7e-05,                 3.4553,                0.44014,                0.14014,                0.06991,                0.02456,                  2.041,                  7e-05,                 3.1951,             0.00043227,             0.00043227,             0.00043227
                     20,                   2.53,                  6e-05,                 3.4072,                0.36619,                0.21256,                0.06139,                0.02126,                 1.9911,                  7e-05,                 3.1649,             0.00042706,             0.00042706,             0.00042706
                     21,                  2.562,                  6e-05,                 3.3568,                0.02291,                0.61471,                 0.0512,                0.01911,                 1.9812,                  7e-05,                 3.1356,             0.00042185,             0.00042185,             0.00042185
                     22,                 2.5885,                  6e-05,                 3.3593,                0.15766,                0.37224,                0.04375,                0.01685,                 1.9877,                  7e-05,                 3.1047,             0.00041664,             0.00041664,             0.00041664
                     23,                 2.5975,                  6e-05,                 3.3049,                0.16063,                0.28775,                0.04271,                0.01683,                  2.005,                  7e-05,                 3.0709,             0.00041144,             0.00041144,             0.00041144
                     24,                 2.5711,                  6e-05,                 3.2632,                0.23755,                0.17918,                0.06695,                0.02497,                  2.036,                  7e-05,                 3.0107,             0.00040623,             0.00040623,             0.00040623
                     25,                 2.6573,                  6e-05,                 3.2594,                0.23924,                0.22143,                0.07019,                0.02402,                 2.0301,                  7e-05,                 2.9743,             0.00040102,             0.00040102,             0.00040102
